chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,key_forgiveness.rt
"[36,51,197,79,108,116,173,34,109,121,142,93,172,174,154,150,63,97,19,203,128,84,96,81,189,64,105,62,161,75,140,188,10,180,138,49,164,56,156,145,123,87]",R_6JCnE5DyshtV1nw,space,1.3977,space,3.9482,space,14.1853,space,35.9309,space,27.4856,space,13.2906,space,4.2203,2,8.074,3,11.0073,3,5.4752,1,8.2092,1,4.489,0,0,0,0,1,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.4371,space,19.2681,space,8.5834,space,46.1394,space,5.088,space,1.3817,3,2.8713,1,7.8523,3,5.1459,2,6.5009,3,4.9666,1,0,1,0,1,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.1376,space,0.3311,space,0.1423,space,0.1438,space,0.6845,space,0.3327,3,2.2662,1,2.9065,3,2.0316,2,2.7026,2,2.2823,2,0,2,0,1,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,space,4.3729,[],0.26966943,-0.321925951,0,0,0,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,"[""LeftButton_2""]",-0.262840136,-0.293766984,1,0,0,0,1,1,1,1,LeftButton_2,9dot1.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,"[""LeftButton_2""]",-0.305335884,-0.340667459,1,0,0,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,0.4,0.226796344,-0.464758832,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.31640625,-0.525399117,1,0,0,LeftButton,"[""LeftButton""]",91,5.1373,space,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,1.4724,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,0.325366709,-0.541720448,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6JCnE5DyshtV1nw,1,2024-04-12_12h46.21.817,interaction task,2021.2.3,MacIntel,59.88023952,120479,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.293367347,-0.467179008,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,88,5.7835,space,83,13.9423,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,1.3675,,
