choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,53,50]",space,8.5161,space,4.9678,competent,7,7.2462,space,1.1715,0,0,0,17,1,18,image/18.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,6.019417972,5.2398,space,1.317,0,1,1,18,1,19,image/19.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,5.442732694,3.5285,space,0.8783,0,2,2,14,1,15,image/15.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,5.52562997,2.6701,space,0.5219,0,3,3,8,1,9,image/9.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,5.219100795,2.3879,space,0.4122,0,4,4,0,1,1,image/1.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,5.212896106,2.0897,space,0.4505,0,5,5,28,1,29,image/29.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,6.215008185,1.7391,space,0.3781,0,6,6,9,1,10,image/10.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,6.220862079,1.3299,space,0.3106,0,7,7,21,1,22,image/22.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,6.771018475,1.9809,space,0.2704,0,8,8,35,1,36,image/36.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
,,,,,,6.667073492,1.6758,space,0.3243,0,9,9,15,1,16,image/16.jpg,0,0,,R_6ef1Z01PGngUI9H,2,2024-05-29_20h38.27.310,face trait task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,
