chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[69,181,199,94,143,5,78,150,105,170,111,162,46,174,180,144,29,137,59,126,90,121,63,72,188,173,192,167,125,140,80,160,153,50,18,118,96,84,71,109,101,54]",R_6ef1Z01PGngUI9H,space,1.7757,space,0.9651,space,0.6737,space,0.5023,space,10.0932,space,3.7972,space,0.6943,1,7.4182,2,5.9267,3,4.5072,1,7.0086,3,4.359,0,0,0,0,1,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.1551,space,16.0587,space,12.1466,space,10.316,space,3.1007,space,0.904,3,4.7344,1,4.2669,3,6.9569,1,7.5867,1,7.0328,1,0,1,0,1,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9833,space,0.7988,space,4.7522,space,20.1108,space,1.8766,space,0.5916,3,1.6448,1,2.181,3,2.1036,2,3.0923,2,4.4883,2,0,2,0,1,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,space,2.1,"[""LeftButton_2""]",-0.277330044,-0.27376637,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,"[""RightButton_2""]",0.323656798,-0.298095475,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,"[""RightButton_2""]",0.261563414,-0.302305016,1,0,0,RightButton_2,0,2,2,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,-0.290593019,-0.504436097,1,0,0,LeftButton,"[""LeftButton""]",,,,3.965232091,11.6665,space,1.8793,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297455227,-0.496133945,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.31729576,5.0481,space,19.39977258,8.4532,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,1.4492,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253207237,-0.524570276,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.25348136,-0.496850152,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.88640425,2.1645,space,26.18869617,3.1239,0,3,3,3,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,1.1845,,,,,,,,
