choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,54,55]",space,7.8892,space,22.9686,trustworthy,4.944479167,4.0575,space,1.471,0,0,0,21,1,22,image/22.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,1.9615625,6.9954,space,1.4974,0,1,1,5,1,6,image/6.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,1.174322917,2.0292,space,1.6216,0,2,2,45,1,46,image/46.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,3.888619792,2.6126,space,0.626,0,3,3,33,1,34,image/34.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,3.984921875,1.9195,space,1.0396,0,4,4,12,1,13,image/13.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,4.532109375,5.1126,space,2.4421,0,5,5,30,1,31,image/31.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,4.532109375,1.3208,space,1.5222,0,6,6,18,1,19,image/19.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,1.246796875,2.4048,space,0.3608,0,7,7,46,1,47,image/47.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,3.830130208,2.1474,space,0.3035,0,8,8,1,1,2,image/2.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
,,,,,,2.814817708,1.8961,space,1.0168,0,9,9,42,1,43,image/43.jpg,0,0,,R_6qDGpWVB0cADqOv,2,2024-05-23_10h10.28.753,face trait task,2021.2.3,MacIntel,57.14285714,120715,,,,,,,
