chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[199,88,102,165,125,82,163,28,137,113,40,64,8,144,190,159,130,106,119,91,189,177,136,135,120,192,48,19,76,174,148,58,68,110,72,151,97,87,59,170,185,60]",R_6qDGpWVB0cADqOv,space,5.5625,space,3.256,space,21.8993,space,18.6219,space,55.5968,space,6.181,space,6.097,3,5.0859,1,8.1313,3,9.3622,2,4.8417,2,2.1662,0,0,0,0,1,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,space,3.3286,"[""LeftButton_2""]",-0.256825087,-0.331440972,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,"[""LeftButton_2""]",-0.2621148,-0.314453125,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,"[""LeftButton_2""]",-0.32413737,-0.308741319,1,0,0,LeftButton_2,0,2,2,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,0.289420573,-0.509539931,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.348876953,-0.510329861,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,90.60022973,11.1739,space,20.14469785,13.2947,0,1,1,1,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,0.4377,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.264881727,-0.529930556,1,0,0,LeftButton,"[""LeftButton""]",0,2.8037,space,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,0.9296,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.303130425,-0.515763889,1,0,0,RightButton,"[""RightButton""]",,,,2.98844401,16.8473,space,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,1.2204,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276502821,-0.539565972,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,4.3467,space,40,8.3256,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,,0.7417,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.235687934,-0.506666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,8.1813,space,20,12.2652,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,,1.2182,,,,,,
