choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,59,55]",space,5.6781,space,8.5734,competent,4.036883036,2.779,space,1.1029,0,0,0,17,1,18,image/18.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,4.004570431,3.6704,space,0.5689,0,1,1,14,1,15,image/15.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,2.935602824,5.8267,space,0.6828,0,2,2,33,1,34,image/34.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,2.904476166,3.1212,space,0.1066,0,3,3,49,1,50,image/50.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,2.009144041,10.1856,space,0.4727,0,4,4,21,1,22,image/22.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,3.009051429,4.0116,space,0.1492,0,5,5,44,1,45,image/45.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,1.945935779,3.5064,space,1.6365,0,6,6,22,1,23,image/23.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,3.961004893,5.0736,space,0.5695,0,7,7,7,1,8,image/8.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,6.990519206,5.6593,space,0.1739,0,8,8,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,2.985993279,6.4814,space,0.1764,0,9,9,38,1,39,image/39.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,5.923220317,2.9987,space,0.1145,0,10,10,20,1,21,image/21.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,3.010457781,2.5141,space,1.9065,0,11,11,19,1,20,image/20.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,1.027394401,3.3966,space,0.1682,0,12,12,16,1,17,image/17.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,6.986552768,4.8564,space,1.1408,0,13,13,43,1,44,image/44.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,1.01923116,2.8046,space,0.3013,0,14,14,40,1,41,image/41.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,2.047332128,2.4102,space,0.2895,0,15,15,30,1,31,image/31.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,3.105431875,3.4536,space,0.3918,0,16,16,37,1,38,image/38.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,3.992324829,2.3486,space,0.2382,0,17,17,39,1,40,image/40.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,4.947309282,4.1904,space,0.137,0,18,18,42,1,43,image/43.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
,,,,,,4.947419061,2.1479,space,0.3754,0,19,19,25,1,26,image/26.jpg,0,0,,R_6upvmTfOk884ujf,2,2024-05-28_14h03.34.893,face trait task,2021.2.3,Linux x86_64,30.03003003,120472,,,,,,,
