chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[63,137,70,168,80,118,157,9,23,120,194,158,36,91,56,87,156,186,135,144,67,148,95,97,202,26,52,169,79,116,99,180,176,125,182,146,78,50,133,131,113,106]",R_6upvmTfOk884ujf,space,1.3127,space,3.0416,space,7.9082,space,5.4686,space,6.0207,space,8.8607,space,1.5428,1,1.4739,3,7.2072,1,7.2961,2,1.4245,1,1.5905,0,0,0,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.8927,space,10.8851,space,20.7525,space,24.1284,space,9.4604,space,4.1693,3,5.4518,1,7.9189,2,5.9199,1,12.9296,3,12.1384,1,0,1,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0342,space,0.1514,space,0.15,space,0.1137,space,0.7515,space,0.6415,3,2.5532,1,3.822,3,6.8035,1,7.3467,2,5.0059,2,0,2,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.196,space,0.386,space,0.2177,space,0.2006,space,0.6061,space,0.5116,3,1.5222,1,2.0836,3,10.6181,1,5.0821,2,1.3841,3,0,3,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0328,space,0.5158,space,0.1524,space,0.1347,space,0.7852,space,0.1408,3,1.4689,1,2.6004,3,2.621,3,1.4506,2,1.3392,4,0,4,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9807,space,0.5667,space,0.3147,space,0.1931,space,6.8051,space,0.2039,3,1.3894,1,5.4518,3,2.0433,1,0.8539,3,1.2848,5,0,5,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.127,space,0.1765,space,0.1827,space,0.1635,space,0.9355,space,0.4821,3,0.2156,1,2.4647,3,2.4248,2,4.3167,3,3.2174,6,0,6,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5113,space,0.2658,space,0.1854,space,0.14,space,4.7384,space,0.2971,3,1.3744,1,0.2514,3,0.292,2,7.4585,1,7.1722,7,0,7,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0073,space,0.1501,space,0.1417,space,0.1374,space,2.1219,space,0.3991,3,1.181,1,3.255,3,0.2925,1,4.1068,3,2.8809,8,0,8,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.4384,space,0.1519,space,0.1647,space,0.122,space,0.8892,space,0.5569,3,0.2854,1,0.3243,3,0.2696,2,14.6124,2,11.8066,9,0,9,0,1,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,space,0.9272,[],0.22893246,-0.364811933,0,0,0,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,"[""RightButton_2""]",0.261189302,-0.336033433,1,0,0,0,1,1,2,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,"[""RightButton_2""]",0.316399256,-0.279755345,1,0,0,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,-0.277286847,-0.524240988,1,0,0,LeftButton,"[""LeftButton""]",,,,2.08632191,13.4209,space,3.0218,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.254354397,-0.471789325,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,62.72372525,2.0551,space,58.96605578,3.3777,0,1,1,1,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,0.0033,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.236689647,-0.519124632,1,0,0,LeftButton,"[""LeftButton""]",,,,4.127884706,2.5412,space,0.8642,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,0.31689477,-0.495172713,1,0,0,RightButton,"[""RightButton""]",,,,,,,,66,2.874,space,61,1.8967,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,0.5309,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,0.307050943,-0.524445852,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,1.8672,space,62,0.7816,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,0.5236,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,0.238834143,-0.493185962,1,0,0,RightButton,"[""RightButton""]",,,,3.980709314,1.3167,space,0.6597,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.252263467,-0.52700184,1,0,0,LeftButton,"[""LeftButton""]",,,,4.025871356,2.1436,space,0.5091,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,,,,,,,
