choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,58,54]",space,2.4347,space,3.9998,trustworthy,3.890575397,6.324,space,0.5466,0,0,0,6,1,7,image/7.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,2.981448413,1.6989,space,0.1778,0,1,1,46,1,47,image/47.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,1.007738095,3.0578,space,0.2565,0,2,2,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,4.472395833,2.9455,space,2.4047,0,3,3,33,1,34,image/34.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,4.342509921,2.3854,space,1.6396,0,4,4,49,1,50,image/50.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,6.980084325,1.8516,space,0.1604,0,5,5,51,1,59,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,5.416443452,3.5435,space,2.0467,0,6,6,2,1,3,image/3.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,4.823809524,1.5358,space,0.4293,0,7,7,36,1,37,image/37.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,2.772643849,2.1161,space,0.2707,0,8,8,47,1,48,image/48.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,2.365029762,1.7649,space,0.3372,0,9,9,28,1,29,image/29.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,4.004141865,2.935,space,1.4222,0,10,10,18,1,19,image/19.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,3.60766369,1.4178,space,0.2507,0,11,11,37,1,38,image/38.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,5.152455357,1.6532,space,0.4196,0,12,12,12,1,13,image/13.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,2.406473214,1.8201,space,0.2362,0,13,13,24,1,25,image/25.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,1.95014881,2.3897,space,0.1845,0,14,14,13,1,14,image/14.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,5.501364087,1.5904,space,0.1766,0,15,15,34,1,35,image/35.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,5.953422619,1.5262,space,1.1189,0,16,16,5,1,6,image/6.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,5.26297123,1.8182,space,1.1874,0,17,17,20,1,21,image/21.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
,,,,,,2.003422619,3.5046,space,0.4111,0,18,18,29,1,30,image/30.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_17h03.12.640,face trait task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,
