chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,incompleteTrials,key_share.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[170,151,123,58,5,116,106,18,130,71,188,59,167,66,55,25,107,203,95,145,115,91,143,103,36,175,191,75,78,86,165,69,81,127,149,114,195,133,157,178,140,189]",R_73JC3XxCdLeJrlD,space,2.5383,space,5.2006,space,25.6999,space,43.8078,space,94.4994,space,18.3433,space,9.11,3,25.5052,1,15.4636,3,13.4501,2,13.1947,2,5.1333,0,0,0,0,1,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,space,6.2623,[],0.300146413,-0.390625,0,0,0,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,"[""RightButton_2""]",0.243045388,-0.3359375,1,0,0,0,1,1,2,1,RightButton_2,9dot2.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,"[""RightButton_2""]",0.276720351,-0.3203125,1,0,0,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,0.4,0.257686676,-0.484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,69,21.4859,space,1.744,98,24.7647,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.300146413,-0.536458333,1,0,0,LeftButton,"[""LeftButton""]",99,2.9855,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,1.3729,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.358711567,-0.533854167,1,0,0,RightButton,"[""RightButton""]",,,,,,,21,8.138,space,0.8589,90,11.6885,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.319180088,-0.5234375,1,0,0,LeftButton,"[""LeftButton""]",60,2.7069,space,,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,1.584,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.325036603,-0.520833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.342606149,-0.572916667,0,0,0,,[],,,,,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,116,,,,,,,
