choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,50,53]",space,7.0531,space,22.5631,critical,5.0234375,9.7959,space,1.2083,0,0,0,12,1,13,image/13.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,2.9921875,7.4255,space,1.8821,0,1,1,14,1,15,image/15.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.53125,5.5298,space,1.464,0,2,2,7,1,8,image/8.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,2.9296875,4.6396,space,1.2826,0,3,3,4,1,5,image/5.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.921875,5.7717,space,0.8056,0,4,4,33,1,34,image/34.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.6875,6.2961,space,2.4975,0,5,5,3,1,4,image/4.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,3.21875,7.1782,space,1.5944,0,6,6,15,1,16,image/16.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,2.6171875,7.3136,space,2.5724,0,7,7,2,1,3,image/3.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,3.84375,7.1794,space,3.1549,0,8,8,17,1,18,image/18.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,5.109375,3.9338,space,1.2704,0,9,9,25,1,26,image/26.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,3.96875,4.422,space,0.5001,0,10,10,36,1,37,image/37.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.1875,7.0174,space,0.6196,0,11,11,1,1,2,image/2.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.5859375,7.4246,space,0.7488,0,12,12,32,1,33,image/33.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,5.0625,5.6004,space,0.883,0,13,13,26,1,27,image/27.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.859375,3.2969,space,1.2332,0,14,14,37,1,38,image/38.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,5.171875,4.3679,space,0.7493,0,15,15,27,1,28,image/28.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,5.6796875,3.6152,space,0.6151,0,16,16,30,1,31,image/31.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.796875,3.3916,space,0.9348,0,17,17,31,1,32,image/32.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
,,,,,,4.6640625,3.5215,space,1.6259,0,18,18,48,1,49,image/49.jpg,0,0,,R_742eAVEWlciGtQU,2,2024-05-31_18h28.59.804,face trait task,2021.2.3,Win32,59.88023952,120825,,,,,,,
