chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,key_guilt.rt
"[11,20,160,129,35,142,69,166,128,137,109,87,180,122,202,194,175,154,117,100,116,85,47,97,64,158,50,144,170,76,54,184,172,133,101,182,53,77,84,70,78,152]",R_742eAVEWlciGtQU,space,2.2054,space,4.3231,space,13.0614,space,22.9243,space,47.9912,space,10.4571,space,4.8579,3,16.9109,1,6.9537,3,6.0053,2,7.81,2,3.2754,0,0,0,0,1,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,space,3.4417,"[""RightButton_2""]",0.294289898,-0.333333333,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,"[""RightButton_2""]",0.286969253,-0.252604167,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,"[""RightButton_2""]",0.257686676,-0.2734375,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.260614934,-0.4765625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263543192,-0.5390625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.336749634,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,2.697657394,11.2812,space,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,2.4057,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272327965,-0.533854167,1,0,0,RightButton,"[""RightButton""]",,,,,,,85,6.7397,space,69,14.798,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,1.6661,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281112738,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281112738,-0.5234375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.50851117,4.7027,space,18.4990461,8.4976,0,5,5,5,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,3.7369,
