choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,59]",space,9.0899,space,29.9329,competent,3.979782447,6.8524,space,1.296,0,0,0,42,1,43,image/43.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,2.995252642,6.24,space,0.1932,0,1,1,36,1,37,image/37.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,5.024995872,7.2392,space,1.5529,0,2,2,35,1,36,image/36.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,4.411379211,4.5559,space,2.0609,0,3,3,20,1,21,image/21.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,3.199161988,3.7232,space,5.2662,0,4,4,15,1,16,image/16.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,4.005882596,9.1552,space,0.4009,0,5,5,49,1,50,image/50.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,5.692206077,3.4015,space,7.7,0,6,6,48,1,49,image/49.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,6.507719617,2.5951,space,3.4827,0,7,7,3,1,4,image/4.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,5.465106919,3.0379,space,1.9364,0,8,8,9,1,10,image/10.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
,,,,,,4.007492569,9.6808,space,0.6349,0,9,9,34,1,35,image/35.jpg,0,0,,R_75PkJGK4ZpN5clP,2,2024-05-12_15h54.03.081,face trait task,2021.2.3,MacIntel,61.34969325,120298,,,,,,,
