chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[141,20,25,193,143,178,177,147,9,191,120,159,66,148,76,128,202,188,59,87,167,134,68,52,111,74,169,88,146,51,63,166,107,106,124,79,94,112,40,110,100,189]",R_75PkJGK4ZpN5clP,space,3.945,space,1.1541,space,0.7221,space,5.2222,space,16.9707,space,6.0792,space,1.277,2,6.1587,1,6.1789,2,5.8127,2,11.8045,3,32.3603,0,0,0,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.4982,space,7.1966,space,7.1454,space,11.9485,space,4.8516,space,0.8126,2,8.144,1,2.1796,3,9.7491,2,8.4652,2,1.1017,1,0,1,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8772,space,0.2147,space,0.4293,space,0.6158,space,0.9174,space,0.7343,1,7.6513,1,0.4995,3,1.4146,2,1.8157,2,0.2611,2,0,2,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3907,space,0.6834,space,0.413,space,0.6655,space,7.2825,space,0.6873,3,3.3043,1,2.6494,2,2.0764,2,1.5782,2,0.2991,3,0,3,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.2352,space,36.9793,space,0.4717,space,0.6858,space,8.4019,space,1.1325,3,1.5983,1,4.9848,2,1.7946,2,2.3995,2,0.2941,4,0,4,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8093,space,0.4986,space,0.7054,space,0.6007,space,5.3697,space,1.3735,3,1.7828,1,12.1489,3,3.5784,2,0.601,2,0.3142,5,0,5,0,1,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,space,1.2566,"[""RightButton_2""]",0.304851758,-0.335343627,1,0,0,RightButton_2,0,0,0,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,"[""RightButton_2""]",0.239374589,-0.281608372,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,"[""LeftButton_2""]",-0.36316319,-0.273734436,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.296957129,-0.500174066,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,98.19258618,6.9994,space,3.4658,1.176930275,10.9842,0,0,0,0,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.242526281,-0.49407151,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
