choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,52,59]",space,5.8466,space,23.8876,trustworthy,2.541451307,8.7875,space,1.6821,0,0,0,27,1,28,image/28.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,2.683902756,2.9499,space,0.2586,0,1,1,47,1,48,image/48.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,2.976302654,3.7184,space,0.9191,0,2,2,4,1,5,image/5.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,3.306190123,2.9786,space,1.6377,0,3,3,36,1,37,image/37.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,5.439212071,6.7055,space,4.4273,0,4,4,24,1,25,image/25.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,1,6.3685,space,2.4597,0,5,5,51,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,3.995954898,3.5523,space,0.364,0,6,6,44,1,45,image/45.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,4.179641868,1.8043,space,0.222,0,7,7,29,1,30,image/30.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,4.509529337,2.7583,space,0.2418,0,8,8,11,1,12,image/12.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
,,,,,,4.487037235,1.9659,space,0.5178,0,9,9,14,1,15,image/15.jpg,0,0,,R_79c3LNBLwbOBa08,2,2024-05-31_13h58.34.534,face trait task,2021.2.3,Win32,120.4819277,120281,,,,,,,
