choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,56,56]",space,7.0292,space,35.0889,competent,3.987057292,14.5145,space,10.2904,0,0,0,8,1,9,image/9.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.007526042,3.706,space,0.6259,0,1,1,47,1,48,image/48.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.976640625,2.0956,space,0.3858,0,2,2,48,1,49,image/49.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.984036458,3.3437,space,0.2348,0,3,3,29,1,30,image/30.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.9959375,3.0094,space,0.5382,0,4,4,49,1,50,image/50.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.996119792,2.6385,space,0.253,0,5,5,40,1,41,image/41.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.984244792,3.487,space,0.2712,0,6,6,21,1,22,image/22.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.981848958,2.3046,space,0.2526,0,7,7,2,1,3,image/3.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.97984375,2.9733,space,0.2944,0,8,8,25,1,26,image/26.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.023125,2.6104,space,0.418,0,9,9,39,1,40,image/40.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.986796875,3.8631,space,0.3011,0,10,10,36,1,37,image/37.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,7,7.387,space,3.1717,0,11,11,52,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.9965625,6.3429,space,1.8207,0,12,12,16,1,17,image/17.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.9965625,2.2015,space,0.4377,0,13,13,28,1,29,image/29.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.974583333,6.0887,space,2.826,0,14,14,14,1,15,image/15.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.990234375,3.1379,space,0.7756,0,15,15,43,1,44,image/44.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.019453125,2.8203,space,0.6376,0,16,16,0,1,1,image/1.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.982135417,2.9277,space,0.6017,0,17,17,3,1,4,image/4.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.969869792,3.0719,space,0.7361,0,18,18,26,1,27,image/27.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.987239583,3.2777,space,0.5712,0,19,19,5,1,6,image/6.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.990911458,3.7232,space,0.2551,0,20,20,45,1,46,image/46.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.01734375,3.6311,space,0.3022,0,21,21,12,1,13,image/13.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.996015625,2.37,space,0.2024,0,22,22,10,1,11,image/11.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.99390625,1.0828,space,0.704,0,23,23,24,1,25,image/25.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.99390625,1.0895,space,1.0612,0,24,24,17,1,18,image/18.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.958203125,1.6718,space,0.3188,0,25,25,32,1,33,image/33.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.035234375,2.5222,space,0.4682,0,26,26,20,1,21,image/21.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.007109375,2.6881,space,0.2509,0,27,27,46,1,47,image/47.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.987890625,2.0455,space,0.2386,0,28,28,1,1,2,image/2.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.987890625,1.5109,space,0.3932,0,29,29,11,1,12,image/12.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.950729167,3.526,space,0.2542,0,30,30,37,1,38,image/38.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.989869792,3.5192,space,1.2709,0,31,31,50,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.991536458,2.6375,space,0.9684,0,32,32,51,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.011015625,4.6623,space,0.3397,0,33,33,18,1,19,image/19.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.965677083,2.7919,space,0.3303,0,34,34,15,1,16,image/16.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,2.981197917,2.8278,space,0.3961,0,35,35,34,1,35,image/35.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.014270833,2.4563,space,0.8038,0,36,36,23,1,24,image/24.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.009791667,2.1373,space,0.2869,0,37,37,22,1,23,image/23.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.976744792,2.143,space,0.2769,0,38,38,33,1,34,image/34.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.0328125,3.7739,space,2.668,0,39,39,44,1,45,image/45.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.476822917,1.8354,space,0.236,0,40,40,7,1,8,image/8.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.596692708,1.6858,space,0.5214,0,41,41,9,1,10,image/10.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.778020833,2.5774,space,0.7077,0,42,42,4,1,5,image/5.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.678671875,2.0388,space,0.2398,0,43,43,27,1,28,image/28.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.954661458,2.4907,space,0.2669,0,44,44,42,1,43,image/43.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.016302083,1.7523,space,0.2242,0,45,45,41,1,42,image/42.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.624296875,2.5037,space,0.9714,0,46,46,38,1,39,image/39.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.200729167,4.5896,space,0.6578,0,47,47,31,1,32,image/32.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.53859375,2.1029,space,1.4858,0,48,48,13,1,14,image/14.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.980677083,3.2695,space,0.3441,0,49,49,35,1,36,image/36.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.414453125,2.2436,space,0.3359,0,50,50,6,1,7,image/7.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.498020833,2.5773,space,0.5585,0,51,51,30,1,31,image/31.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.067838542,2.5288,space,0.3687,0,52,52,19,1,20,image/20.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,0,0,0,1,1,1,competent.png
,,,,,trustworthy,4.00515625,11.1543,space,10.8101,0,0,0,18,1,19,image/19.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.950651042,2.6046,space,0.9963,0,1,1,5,1,6,image/6.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.987447917,5.704,space,0.7234,0,2,2,28,1,29,image/29.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.509817708,4.1387,space,2.0533,0,3,3,21,1,22,image/22.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.522734375,2.0849,space,0.2377,0,4,4,27,1,28,image/28.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.00984375,3.8375,space,0.3093,0,5,5,11,1,12,image/12.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.027213542,4.1224,space,1.1076,0,6,6,32,1,33,image/33.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.999010417,3.2591,space,0.5871,0,7,7,51,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,5.949557292,8.138,space,0.235,0,8,8,14,1,15,image/15.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,6.628255208,2.99,space,0.6206,0,9,9,12,1,13,image/13.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.011536458,3.5448,space,0.4702,0,10,10,47,1,48,image/48.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,1.990859375,2.2712,space,0.2846,0,11,11,43,1,44,image/44.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,3.713385417,3.8868,space,0.2598,0,12,12,34,1,35,image/35.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.964713542,2.1017,space,0.9012,0,13,13,6,1,7,image/7.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.029375,7.0371,space,0.5294,0,14,14,38,1,39,image/39.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
,,,,,,4.11328125,2.5407,space,0.3881,0,15,15,37,1,38,image/38.jpg,0,0,,R_7CKHJGMjptgL6SO,2,2024-05-23_21h11.32.019,face trait task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,
