chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[106,97,188,101,147,142,117,66,151,48,173,74,203,79,130,5,21,115,148,35,82,196,87,178,50,60,71,174,59,143,164,187,166,40,89,126,94,185,161,118,122,139]",R_7CKHJGMjptgL6SO,space,2.2571,space,2.3721,space,65.3379,space,269.0978,space,23.5276,space,8.8459,space,4.4622,1,7.9395,2,10.1182,1,10.2259,2,16.5364,2,6.2175,0,0,0,0,1,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.1407,space,15.638,space,88.3386,space,39.3529,space,4.2244,space,0.7994,3,3.0353,1,5.8947,3,16.1253,2,2.5899,2,0.4975,1,0,1,0,1,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,space,15.4121,[],0.231206597,-0.303984375,0,0,0,0,0,0,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,"[""RightButton_2""]",0.256146918,-0.311102431,1,0,0,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,"[""LeftButton_2""]",-0.211778429,-0.333506944,1,0,0,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.320746528,-0.475182292,1,0,0,RightButton,"[""RightButton""]",1,4.2611,space,1.2214,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.296039497,-0.492569444,1,0,0,RightButton,"[""RightButton""]",0,4.9676,space,1.037,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.269943576,-0.487300347,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.05007102,5.3679,space,10.30289878,12.1604,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,2.1666,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.320524089,-0.529227431,1,0,0,LeftButton,"[""LeftButton""]",0,2.4069,space,0.4693,,,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.266460503,-0.487144097,1,0,0,LeftButton,"[""LeftButton""]",12,1.7882,space,1.1885,,,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.271875,-0.515503472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,4.3323,space,0.141607043,8.7636,0,5,5,5,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,1.4866,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.362554253,-0.500824653,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.953070747,14.3009,space,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,3.8162,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.252408854,-0.470894097,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.526855469,7.541,space,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,1.2893,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,0.20952691,-0.512890625,1,0,0,RightButton,"[""RightButton""]",10,2.2926,space,0.7072,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.31843533,-0.519175347,1,0,0,RightButton,"[""RightButton""]",10,1.915,space,0.6202,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.294856771,-0.514236111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,6.1516,space,100,9.7153,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,0.6171,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,0.31531033,-0.48546875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.7821,space,99,4.4085,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,0.5066,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.326242405,-0.490416667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.291650391,-0.498706597,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.7722,space,94,9.3161,,,,,,0,13,13,13,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,1.4695,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.329676649,-0.500842014,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,1,2.8166,space,89,4.1839,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.818,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.225010851,-0.497378472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKHJGMjptgL6SO,1,2024-05-23_20h47.13.538,interaction task,2021.2.3,MacIntel,59.99880002,120488,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.289648438,-0.508003472,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,1,RandomDot8.png,No answer,21,,,,,,,,,
