chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,incompleteTrials,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[98,68,11,172,40,69,113,135,180,48,185,153,92,124,195,86,51,121,100,139,132,104,78,79,159,163,170,116,189,31,179,150,82,85,198,64,55,125,19,160,145,119]",R_7CKs9SKBixkdv7M,space,1.0942,space,0.5684,space,0.9782,space,4.0052,space,0.4368,space,2.0699,space,0.4649,3,1.1471,1,1.7684,3,1.647,2,3.593,2,0.5801,0,0,0,0,1,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,space,0.9789,"[""LeftButton_2""]",-0.302960375,-0.322928738,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,"[""LeftButton_2""]",-0.266243829,-0.313034668,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,"[""RightButton_2""]",0.309428491,-0.342892388,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.334488848,-0.510203179,1,0,0,RightButton,"[""RightButton""]",0,5.179,space,1.2846,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295576901,-0.54053304,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.983341217,11.4377,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,2.4333,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.344636959,-0.49676039,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.278764767,-0.495917291,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,21,3.69,space,40,6.0776,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,1.6694,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.258336385,-0.513531494,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254879167,-0.45913303,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.011372884,6.6548,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.7847,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.271146308,-0.520025499,0,0,0,,[],,,,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,113,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,0.32401691,-0.527644721,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.58963105,3.1701,space,19.74971613,7.609,0,7,7,7,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,1.5709,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.30451533,-0.540845405,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,19.17178307,2.3571,space,19.27372668,3.4244,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,,0.435,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.342261124,-0.527480197,1,0,0,LeftButton,"[""LeftButton""]",22,3.5883,space,0.5499,,,,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277046373,-0.520804308,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.55592684,4.0252,space,40.2969172,5.7912,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,,0.5002,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272821893,-0.517116021,1,0,0,RightButton,"[""RightButton""]",40,2.0143,space,0.6501,,,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.28544498,-0.537698296,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.27653344,3.2212,space,50.76567953,4.3909,0,12,12,12,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,0.6013,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,0.238695272,-0.519759115,1,0,0,RightButton,"[""RightButton""]",,,,,,,,49,3.8389,space,49,4.8776,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.4682,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.278061506,-0.495276828,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,0.278061506,-0.496839193,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.83321921,3.4378,space,58.9213824,4.674,0,15,15,15,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,,1.383,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257658386,-0.529256727,1,0,0,LeftButton,"[""LeftButton""]",41,1.4617,space,1.3003,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288139343,-0.524828966,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,2.2103,space,51,3.1606,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,0.6671,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.085702515,-0.467076552,0,0,0,,[],,,,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,100,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.212200673,-0.536700846,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.75107692,1.3562,space,61.39189338,5.556,0,19,19,19,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,,1.6175,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244801924,-0.52302219,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.91512654,7.1388,space,49.16502228,2.8922,0,20,20,20,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,,5.4835,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.021135966,-0.789539117,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,104,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.021135966,-0.789539117,0,0,0,,[],,,,,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,78,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269352468,-0.488671875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,40,2.0444,space,49,2.9938,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,0.7339,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.338820733,-0.497886285,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.98635949,5.5558,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.1004,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254451752,-0.514641385,1,0,0,RightButton,"[""RightButton""]",,,,,2.002747006,1.5136,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,1.0333,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.249490526,-0.508940565,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,3.4895,space,41,6.4933,,,,,,0,26,26,26,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,0.2834,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7CKs9SKBixkdv7M,1,2024-05-31_21h29.15.501,interaction task,2021.2.3,MacIntel,59.88023952,120813,,,,,,,,,,,,,,,,,Smaller,Greater,,0.286495124,-0.539501275,1,0,0,RightButton,"[""RightButton""]",,,,,2.573924171,3.5947,space,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.9344,,,,,,,,
