choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,56,59]",space,1.075,space,0.412,competent,5.043478261,3.515,space,0.65,0,0,0,5,1,6,image/6.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.991304348,1.396,space,0.998,0,1,1,46,1,47,image/47.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.989130435,3.944,space,0.313,0,2,2,27,1,28,image/28.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.006521739,7.587,space,2.092,0,3,3,29,1,30,image/30.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.973913043,4.82,space,0.588,0,4,4,51,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.941304348,11.454,space,0.634,0,5,5,9,1,10,image/10.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.002173913,3.021,space,0.322,0,6,6,7,1,8,image/8.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.034782609,1.655,space,0.442,0,7,7,2,1,3,image/3.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.906521739,1.707,space,1.195,0,8,8,14,1,15,image/15.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.973913043,3.404,space,0.578,0,9,9,50,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.019565217,1.665,space,0.335,0,10,10,38,1,39,image/39.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.010869565,1.489,space,0.431,0,11,11,26,1,27,image/27.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.010869565,3.193,space,0.41,0,12,12,31,1,32,image/32.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.943478261,1.784,space,0.389,0,13,13,23,1,24,image/24.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.043478261,2.378,space,0.309,0,14,14,25,1,26,image/26.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.043478261,1.172,space,0.386,0,15,15,24,1,25,image/25.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.010869565,1.45,space,0.389,0,16,16,6,1,7,image/7.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.008695652,1.951,space,0.342,0,17,17,20,1,21,image/21.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.056521739,1.919,space,0.43,0,18,18,3,1,4,image/4.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.897826087,2.569,space,0.476,0,19,19,12,1,13,image/13.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.95,1.606,space,0.31,0,20,20,37,1,38,image/38.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.95,1.097,space,0.334,0,21,21,36,1,37,image/37.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.941304348,1.325,space,0.311,0,22,22,21,1,22,image/22.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.07173913,2.194,space,0.677,0,23,23,42,1,43,image/43.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,6.993478261,4.068,space,0.521,0,24,24,52,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.936956522,1.763,space,0.413,0,25,25,32,1,33,image/33.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.97173913,2.005,space,0.342,0,26,26,49,1,50,image/50.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.019565217,1.888,space,0.254,0,27,27,43,1,44,image/44.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.97826087,1.466,space,0.285,0,28,28,39,1,40,image/40.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.95,1.678,space,0.331,0,29,29,1,1,2,image/2.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.993478261,2.738,space,0.235,0,30,30,30,1,31,image/31.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.002173913,1.637,space,0.254,0,31,31,47,1,48,image/48.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.973913043,2.459,space,0.267,0,32,32,10,1,11,image/11.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.956521739,1.697,space,0.399,0,33,33,22,1,23,image/23.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.952173913,1.626,space,0.396,0,34,34,0,1,1,image/1.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.952173913,1.75,space,0.465,0,35,35,11,1,12,image/12.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.991304348,1.287,space,0.36,0,36,36,48,1,49,image/49.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.013043478,1.568,space,0.264,0,37,37,45,1,46,image/46.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,3.02826087,1.272,space,0.314,0,38,38,40,1,41,image/41.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,2.989130435,1.006,space,0.69,0,39,39,28,1,29,image/29.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,5.063043478,1.423,space,0.365,0,40,40,17,1,18,image/18.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.984782609,1.453,space,0.297,0,41,41,16,1,17,image/17.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
,,,,,,4.052173913,2.851,space,0.321,0,42,42,4,1,5,image/5.jpg,0,0,,R_7LzE0pjYtdObtSm,2,2024-05-14_19h42.00.982,face trait task,2021.2.3,MacIntel,29.41176471,121574,,,,,,,
