chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[79,182,112,179,42,193,177,148,56,127,141,136,169,66,100,191,116,20,147,48,118,55,158,162,96,139,181,125,93,164,90,145,202,124,32,91,6,71,77,78,62,107]",R_7LzE0pjYtdObtSm,space,0.9,space,0.227,space,0.29,space,0.18,space,0.094,space,0.703,space,0.418,3,1.899,1,5.701,2,2.956,2,1.925,2,3.966,0,0,0,0,1,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.983,space,0.367,space,0.328,space,0.52,space,0.387,space,0.306,3,1.186,1,1.075,3,3.218,2,0.854,2,0.319,1,0,1,0,1,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,space,1.286,"[""LeftButton_2""]",-0.300680272,-0.323913043,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,"[""RightButton_2""]",0.266666667,-0.326086957,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,"[""RightButton_2""]",0.265306122,-0.306521739,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.276190476,-0.497826087,1,0,0,RightButton,"[""RightButton""]",,,,,,,3,2.095,space,0.321,6,2.924,,,,,,0,0,0,0,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297959184,-0.497826087,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,2.587095444,2.94,space,1.487665773,4.108,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,0.31,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.299319728,-0.510869565,1,0,0,LeftButton,"[""LeftButton""]",,,,2.608843537,2.941,space,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.799,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,0.306122449,-0.513043478,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,2.603,space,0.422,1,3.823,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7LzE0pjYtdObtSm,1,2024-05-14_19h29.45.084,interaction task,2021.2.3,MacIntel,30.3030303,121574,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.330612245,-0.539130435,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,,,,,,,
