choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,59,53]",space,7.079,space,2.855,trustworthy,3.92,6.407,space,1.245,0,0,0,18,1,19,image/19.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,2.74,2.713,space,1.471,0,1,1,32,1,33,image/33.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,1.986666667,2.28,space,0.517,0,2,2,42,1,43,image/43.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,1.24,2.412,space,0.28,0,3,3,8,1,9,image/9.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,5.04,2.616,space,0.251,0,4,4,11,1,12,image/12.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.62,2.665,space,0.712,0,5,5,26,1,27,image/27.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,2.293333333,2.013,space,0.269,0,6,6,45,1,46,image/46.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,5,2.531,space,0.318,0,7,7,10,1,11,image/11.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.24,2.165,space,0.551,0,8,8,49,1,50,image/50.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.54,5.063,space,0.359,0,9,9,15,1,16,image/16.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,5.073333333,2.146,space,0.934,0,10,10,1,1,2,image/2.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,4.84,2.231,space,0.67,0,11,11,41,1,42,image/42.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.146666667,2.996,space,0.233,0,12,12,29,1,30,image/30.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,1.753333333,1.664,space,0.301,0,13,13,46,1,47,image/47.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,4.026666667,6.83,space,0.274,0,14,14,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,2.386666667,3.078,space,0.397,0,15,15,47,1,48,image/48.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,6.26,2.596,space,0.348,0,16,16,4,1,5,image/5.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,2.453333333,1.965,space,0.215,0,17,17,31,1,32,image/32.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,5.186666667,2.762,space,0.473,0,18,18,14,1,15,image/15.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,6.686666667,1.699,space,0.334,0,19,19,20,1,21,image/21.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.826666667,3.348,space,1.463,0,20,20,21,1,22,image/22.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.133333333,2.13,space,0.329,0,21,21,39,1,40,image/40.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
,,,,,,3.4,2.696,space,0.418,0,22,22,28,1,29,image/29.jpg,0,0,,R_7MgMIvXrLYayfkt,2,2024-05-29_00h16.43.170,face trait task,2021.2.3,MacIntel,55.55555556,116248,,,,,,,
