chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[115,55,184,197,117,60,144,51,123,127,182,138,153,61,35,165,98,75,168,96,8,131,179,113,66,93,97,80,158,181,45,52,19,200,77,178,132,87,145,133,95,163]",R_7MgMIvXrLYayfkt,space,6.514,space,3.26,space,13.736,space,20,space,19.595,space,4.902,space,1.543,1,12.101,1,7.266,3,9.879,1,7.136,3,2.942,0,0,0,0,1,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.49,space,10.959,space,4.256,space,21.646,space,1.029,space,0.565,3,6.218,1,1.711,3,2.841,3,3.87,2,2.775,1,0,1,0,1,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.595,space,0.367,space,0.35,space,14.211,space,0.638,space,0.645,3,2.501,1,0.596,3,1.688,3,4.898,2,4.201,2,0,2,0,1,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.354,space,0.2,space,0.161,space,0.18,space,0.766,space,0.452,3,1.57,1,0.572,3,3.802,2,8.211,2,2.583,3,0,3,0,1,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,space,2.876,"[""LeftButton_2""]",-0.294444444,-0.33902439,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,"[""LeftButton_2""]",-0.222222222,-0.334146341,1,0,0,LeftButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,"[""LeftButton_2""]",-0.245833333,-0.334146341,1,0,0,LeftButton_2,0,2,2,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,0.2,0.320833333,-0.47804878,1,0,0,RightButton,"[""RightButton""]",,,,2.534722222,10.635,space,3.882,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166667,-0.47804878,1,0,0,RightButton,"[""RightButton""]",35,3.447,space,,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,0.916,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,0.275,-0.509756098,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,71.74523008,4.399,space,32.88439955,6.348,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,0.338,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3125,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.297222222,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,2.347222222,4.525,space,0.677,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.519512195,1,0,0,LeftButton,"[""LeftButton""]",,,,2.541666667,3.508,space,1.799,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2,-0.514634146,1,0,0,LeftButton,"[""LeftButton""]",49,2.014,space,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,0.521,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273611111,-0.485365854,1,0,0,RightButton,"[""RightButton""]",20,3.347,space,,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,1.65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280555556,-0.497560976,1,0,0,RightButton,"[""RightButton""]",,,,,,,,50,3.622,space,58,7.57,,,,,,0,8,8,8,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,1.634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.238888889,-0.52195122,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,48,3.324,space,57,5.623,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,0.338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272222222,-0.456097561,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.85970819,2.881,space,50.14029181,5.063,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,0.33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.256944444,-0.524390244,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,52.52525253,3.788,space,50.14029181,6.255,0,11,11,11,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,1.331,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.236111111,-0.517073171,1,0,0,LeftButton,"[""LeftButton""]",62,1.881,space,,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,0.334,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Greater,Smaller,,0.309722222,-0.502439024,1,0,0,RightButton,"[""RightButton""]",,,,2.798611111,2.19,space,0.501,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3375,-0.514634146,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7MgMIvXrLYayfkt,1,2024-05-28_23h58.14.035,interaction task,2021.2.3,MacIntel,62.5,116248,,,,,,,,,,,,,,,,,Smaller,Greater,,0.323611111,-0.534146341,1,0,0,RightButton,"[""RightButton""]",,,,3.076388889,1.978,space,0.396,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,
