chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt
"[90,112,148,147,121,172,118,170,164,7,13,192,66,83,131,96,27,111,182,133,156,203,120,158,44,171,78,92,105,80,98,70,150,94,191,51,138,59,68,187,136,55]",R_7OwUL9VEO13T4Sy,space,1.3583,space,1.3827,space,5.1673,space,9.0317,space,2.5935,space,3.3055,space,2.4742,3,5.752,3,5.4759,1,15.1177,2,5.7725,3,4.6396,0,0,0,0,1,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,3.9979,space,6.4603,space,8.9235,space,9.6604,space,1.1292,space,0.741,3,1.414,3,4.3943,3,3.3641,2,2.4432,3,1.619,1,0,1,0,1,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0196,space,0.3442,space,0.1476,space,0.1986,space,0.1894,space,0.9471,3,1.5418,1,6.1839,3,2.4783,2,1.6199,2,5.6116,2,0,2,0,1,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,space,2.8222,[],0.034615653,-0.270107887,0,0,0,0,0,0,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,"[""LeftButton_2""]",-0.235571289,-0.307285466,1,0,0,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,"[""RightButton_2""]",0.258380999,-0.348115079,1,0,0,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,0.246086775,-0.489577133,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,80.20826287,6.2686,space,0.8349,18.15250722,9.6505,0,0,0,0,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,Greater,Smaller,,,0.3470738,-0.507142857,1,0,0,RightButton,"[""RightButton""]",,,,4.01953125,12.7545,space,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,2.3621,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,Greater,Smaller,,,0.2669887,-0.538504464,1,0,0,RightButton,"[""RightButton""]",20,10.9839,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,1.6884,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7OwUL9VEO13T4Sy,1,2024-05-15_15h14.45.580,interaction task,2021.2.3,MacIntel,59.88023952,116251,,,,,,,,,,,,,,,,Greater,Smaller,,,0.271937779,-0.516803075,1,0,0,RightButton,"[""RightButton""]",90,2.7433,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,1.5838,
