choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,56,53]",space,12.2168,space,14.2501,trustworthy,2.987114258,6.2166,space,1.3192,0,0,0,44,1,45,image/45.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.969763184,2.8254,space,0.7232,0,1,1,7,1,8,image/8.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.421118571,2.9705,space,1.2317,0,2,2,0,1,1,image/1.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,1.029106242,6.5608,space,4.2921,0,3,3,50,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.010430908,2.9019,space,0.7975,0,4,4,21,1,22,image/22.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.991242269,2.6658,space,1.2071,0,5,5,33,1,34,image/34.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.571082764,2.7036,space,0.8794,0,6,6,25,1,26,image/26.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.364961344,3.1698,space,0.9723,0,7,7,31,1,32,image/32.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.193739421,2.6023,space,0.7394,0,8,8,2,1,3,image/3.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,2.408160807,2.5425,space,1.2361,0,9,9,36,1,37,image/37.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.47316569,2.2902,space,0.6115,0,10,10,29,1,30,image/30.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.484056396,2.4019,space,0.8119,0,11,11,20,1,21,image/21.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.835704753,7.2706,space,0.8404,0,12,12,6,1,7,image/7.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.916516113,3.8696,space,0.8473,0,13,13,5,1,6,image/6.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.58779541,4.2714,space,1.2757,0,14,14,27,1,28,image/28.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.818191732,3.3413,space,1.0127,0,15,15,10,1,11,image/11.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.009374186,2.4538,space,0.6313,0,16,16,23,1,24,image/24.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.386899414,3.3721,space,0.5359,0,17,17,46,1,47,image/47.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.174549561,3.5667,space,0.6022,0,18,18,37,1,38,image/38.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.885755208,3.3181,space,1.1792,0,19,19,48,1,49,image/49.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.425111084,2.3611,space,0.7959,0,20,20,24,1,25,image/25.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.684014893,2.9346,space,0.8349,0,21,21,13,1,14,image/14.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.533077799,6.3181,space,3.8884,0,22,22,28,1,29,image/29.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,3.432396647,3.0584,space,0.551,0,23,23,3,1,4,image/4.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,5.974660645,3.1237,space,1.3387,0,24,24,11,1,12,image/12.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.664277344,2.8091,space,1.0136,0,25,25,22,1,23,image/23.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
,,,,,,4.8353007,3.9022,space,1.8657,0,26,26,32,1,33,image/33.jpg,0,0,,R_7PRxMH8tgtcALpe,2,2024-05-24_11h38.20.869,face trait task,2021.2.3,MacIntel,30.95975232,120284,,,,,,,
