chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[49,143,131,148,92,136,149,103,116,184,128,100,113,181,114,175,197,55,158,172,78,68,167,45,57,81,94,73,66,140,162,67,173,18,99,182,24,6,150,126,199,86]",R_7PRxMH8tgtcALpe,space,1.7899,space,4.8876,space,18.4403,space,31.8904,space,50.0501,space,11.72,space,8.4186,2,13.3696,1,9.7531,3,9.8718,2,6.5295,2,3.3464,0,0,0,0,1,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.1826,space,0.7818,space,0.5854,space,0.5776,space,0.6658,space,1.3689,4,1.9933,1,8.3997,3,4.5578,2,1.9777,2,0.6418,1,0,1,0,1,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.4997,space,12.1604,space,0.5519,space,0.6,space,1.4649,space,0.8469,1,5.4825,2,5.3677,1,0.5631,2,0.3477,2,0.3066,2,0,2,0,1,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.5458,space,0.6508,space,0.3465,space,0.511,space,1.8675,space,0.3949,3,1.3864,1,2.0171,3,3.9984,2,1.5608,2,0.4189,3,0,3,0,1,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,space,1.3598,"[""RightButton_2""]",0.284873454,-0.32479872,1,0,0,RightButton_2,0,0,0,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,"[""RightButton_2""]",0.36641176,-0.318257378,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,"[""LeftButton_2""]",-0.251979319,-0.315315891,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.322731951,-0.459794244,1,0,0,LeftButton,"[""LeftButton""]",2,7.4902,space,3.9146,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,Smaller,Greater,,0.274373372,-0.512420112,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,96.74546298,5.5664,space,1.949944801,8.6017,0,1,1,1,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,1.5213,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PRxMH8tgtcALpe,1,2024-05-24_11h21.07.599,interaction task,2021.2.3,MacIntel,62.11180124,120284,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271795993,-0.507108561,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,3,4.9874,space,1,8.6565,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,1.4247,
