choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,56,52]",space,6.445,space,21.941,critical,2.973333333,8.762,space,1.116,0,0,0,7,1,8,image/8.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,6.006666667,4.498,space,0.809,0,1,1,30,1,31,image/31.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,2.026666667,2.402,space,1.11,0,2,2,4,1,5,image/5.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,4.013333333,3.519,space,0.323,0,3,3,49,1,50,image/50.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,2,4.119,space,0.364,0,4,4,11,1,12,image/12.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,3.993333333,3.468,space,0.258,0,5,5,1,1,2,image/2.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,4.986666667,4.218,space,0.273,0,6,6,27,1,28,image/28.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,4.013333333,3.451,space,0.303,0,7,7,15,1,16,image/16.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,4.013333333,1.855,space,0.256,0,8,8,2,1,3,image/3.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
,,,,,,3.033333333,3.835,space,0.316,0,9,9,24,1,25,image/25.jpg,0,0,,R_7PpRpKeBBPUcMUJ,2,2024-05-31_15h28.42.045,face trait task,2021.2.3,MacIntel,29.41176471,120738,,,,,,,
