chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt,key_apology.rt
"[193,146,114,203,57,134,175,156,160,81,76,188,126,41,178,174,71,130,183,97,184,151,54,33,13,70,52,108,85,4,109,83,140,163,101,103,131,69,139,144,94,90]",R_7PpRpKeBBPUcMUJ,space,1.746,space,3.432,space,10.745,space,15.767,space,18.188,space,9.979,space,1.977,3,8.982,1,13.207,3,5.99,2,37.394,3,8.096,0,0,0,0,1,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.094,space,0.868,space,0.54,space,0.59,space,8.519,space,0.438,3,1.75,1,2.873,3,1.9,2,4.016,2,2.185,1,0,1,0,1,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,space,3.299,"[""LeftButton_2""]",-0.219444444,-0.34,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,"[""LeftButton_2""]",-0.279166667,-0.324444444,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,"[""RightButton_2""]",0.2625,-0.331111111,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.270833333,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318055556,-0.462222222,1,0,0,RightButton,"[""RightButton""]",40,9.536,space,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,3.523,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.236111111,-0.497777778,1,0,0,RightButton,"[""RightButton""]",,,,4.979166667,6.515,space,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,1.15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.270833333,-0.482222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2375,-0.54,1,0,0,LeftButton,"[""LeftButton""]",60,2.388,space,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,1.025,,,
