key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,26.2702,space,17.5348,4.005004476,3.2185,space,3.0519,0,0,0,9,1,10,image/10.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.008446045,4.0903,space,0.7584,0,1,1,27,1,28,image/28.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.007150879,2.3255,space,1.0194,0,2,2,8,1,9,image/9.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.007150879,1.8237,space,0.6757,0,3,3,45,1,46,image/46.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,5.003656006,3.3561,space,0.6123,0,4,4,34,1,35,image/35.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.992546794,1.7101,space,1.7161,0,5,5,6,1,7,image/7.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.992546794,1.5749,space,0.5397,0,6,6,7,1,8,image/8.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,5.003158366,2.9106,space,2.0993,0,7,7,16,1,17,image/17.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.013636882,1.9762,space,0.3495,0,8,8,11,1,12,image/12.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.013636882,1.4435,space,0.4067,0,9,9,3,1,4,image/4.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.013636882,1.1924,space,0.3385,0,10,10,0,1,1,image/1.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.013636882,1.1112,space,0.2873,0,11,11,22,1,23,image/23.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.013636882,1.1783,space,0.2707,0,12,12,2,1,3,image/3.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.978762207,1.9945,space,0.5711,0,13,13,14,1,15,image/15.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,6.021835124,2.5437,space,0.6721,0,14,14,30,1,31,image/31.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.988202718,2.3093,space,0.3331,0,15,15,38,1,39,image/39.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.004222412,1.2608,space,0.2821,0,16,16,19,1,20,image/20.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.01211141,1.0281,space,0.2895,0,17,17,41,1,42,image/42.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.01211141,1.0604,space,0.2918,0,18,18,24,1,25,image/25.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.01211141,1.0092,space,0.3049,0,19,19,5,1,6,image/6.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.01211141,1.0271,space,0.2735,0,20,20,26,1,27,image/27.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.01211141,1.1789,space,0.3013,0,21,21,15,1,16,image/16.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.986216227,2.0303,space,0.24,0,22,22,40,1,41,image/41.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,2.009,space,0.257,0,23,23,51,1,52,image/52.jpg,1,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.0763,space,0.2605,0,24,24,25,1,26,image/26.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.1629,space,0.2833,0,25,25,35,1,36,image/36.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.3289,space,0.2596,0,26,26,18,1,19,image/19.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.029,space,0.2759,0,27,27,17,1,18,image/18.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.0613,space,0.4034,0,28,28,12,1,13,image/13.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,0.9783,space,0.4251,0,29,29,43,1,44,image/44.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.011376139,1.6191,space,0.1039,0,30,30,47,1,48,image/48.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,2.974175618,5.8909,space,1.745,0,31,31,4,1,5,image/5.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.017828369,1.877,space,0.5509,0,32,32,39,1,40,image/40.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.001815592,2.3461,space,0.4038,0,33,33,1,1,2,image/2.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.984008382,2.4931,space,0.2856,0,34,34,49,1,50,image/50.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,5.011086426,2.1144,space,0.4165,0,35,35,32,1,33,image/33.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.982332764,1.9616,space,0.3179,0,36,36,23,1,24,image/24.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,2.988892822,1.9276,space,0.3348,0,37,37,48,1,49,image/49.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.990270589,1.8961,space,0.3341,0,38,38,13,1,14,image/14.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.995537923,4.4786,space,2.9744,0,39,39,21,1,22,image/22.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.990093994,2.0969,space,0.3599,0,40,40,28,1,29,image/29.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.990093994,1.378,space,0.575,0,41,41,31,1,32,image/32.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,3.990093994,1.4112,space,0.3702,0,42,42,20,1,21,image/21.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.026762288,2.2799,space,0.3043,0,43,43,44,1,45,image/45.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
,,,,4.026762288,2.4786,space,0.2996,0,44,44,46,1,47,image/47.jpg,0,R_7PyO7Fjqtbjl581,2,2024-04-09_14h51.40.464,face trait task,2021.2.3,MacIntel,59.88023952,SONAid,,,,,,,
