chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[150,91,26,22,188,175,139,98,84,74,66,159,73,190,115,111,151,158,103,72,142,124,157,92,56,141,154,129,57,6,114,170,200,121,69,67,104,186,55,172,195,37]",R_7PyO7Fjqtbjl581,space,1.737,space,5.1957,space,16.0464,space,23.9293,space,55.2059,space,13.3303,space,6.9444,2,13.3983,1,19.0938,3,9.7247,1,12.1532,2,7.2504,0,0,0,0,1,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.7515,space,5.5834,space,2.8991,space,10.565,space,2.3161,space,1.0181,3,4.1185,1,4.8836,3,6.2489,2,2.0998,2,5.368,1,0,1,0,1,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,space,4.1756,"[""RightButton_2""]",0.319047716,-0.306703288,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,"[""LeftButton_2""]",-0.363102256,-0.320176595,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,"[""LeftButton_2""]",-0.351350996,-0.320176595,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.293845367,-0.494075656,1,0,0,LeftButton,"[""LeftButton""]",79,4.7075,space,1.31,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.249574195,-0.494649794,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.5937922,6.354,space,49.76272669,9.5194,0,1,1,1,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,1.4989,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248719194,-0.51955702,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.262101407,-0.532006158,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PyO7Fjqtbjl581,1,2024-04-09_14h34.11.213,interaction task,2021.2.3,MacIntel,59.88023952,120529,,,,,,,,,,,,,,,,,Smaller,Greater,,0.314997864,-0.51886556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,70.03300899,5.1513,space,69.76074835,7.9241,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,1.0669,,
