choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,59,55]",space,5.138,space,5.585,critical,1.003174603,10.915,space,0.846,0,0,0,37,1,38,image/38.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,3.974603175,3.511,space,0.637,0,1,1,18,1,19,image/19.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.028571429,5.032,space,0.509,0,2,2,2,1,3,image/3.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.980952381,3.868,space,0.495,0,3,3,47,1,48,image/48.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.511111111,2.227,space,0.336,0,4,4,35,1,36,image/36.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,6.99047619,4.336,space,0.579,0,5,5,52,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,7,5.943,space,3.1,0,6,6,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.022222222,2.559,space,0.38,0,7,7,13,1,14,image/14.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,5.123809524,4.059,space,0.439,0,8,8,23,1,24,image/24.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,6.19047619,2.156,space,0.61,0,9,9,31,1,32,image/32.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.33968254,2.439,space,0.44,0,10,10,11,1,12,image/12.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,4.679365079,1.988,space,0.438,0,11,11,32,1,33,image/33.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,4.463492063,3.756,space,0.301,0,12,12,46,1,47,image/47.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,5.873015873,2.901,space,0.297,0,13,13,25,1,26,image/26.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.206349206,2.541,space,0.28,0,14,14,20,1,21,image/21.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.46031746,2.496,space,0.375,0,15,15,38,1,39,image/39.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,1.492063492,1.662,space,0.303,0,16,16,14,1,15,image/15.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,4.723809524,2.523,space,0.221,0,17,17,27,1,28,image/28.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,6.380952381,5.517,space,0.266,0,18,18,16,1,17,image/17.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,6.952380952,1.845,space,0.33,0,19,19,45,1,46,image/46.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
,,,,,,4.907936508,2.341,space,0.3,0,20,20,26,1,27,image/27.jpg,0,0,,R_7U9hZc6iX0aCxva,2,2024-05-31_20h05.27.946,face trait task,2021.2.3,MacIntel,71.42857143,120419,,,,,,,
