chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt
"[12,174,58,184,99,76,179,191,203,73,143,194,130,175,189,50,105,166,161,153,112,49,61,60,5,71,154,141,133,32,151,46,95,118,89,83,84,126,162,109,106,124]",R_7U9hZc6iX0aCxva,space,1.041,space,1.926,space,3.219,space,17.971,space,3.999,space,4.438,space,3.393,4,10.474,1,10.628,3,11.743,2,11.969,2,6.606,0,0,0,0,1,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.143,space,0.124,space,0.127,space,0.113,space,2.048,space,0.453,3,6.199,3,10.467,3,2.02,2,1.826,2,0.386,1,0,1,0,1,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.49,space,5.037,space,1.542,space,0.395,space,3.472,space,0.36,3,3.283,1,3.372,3,4.49,2,1.221,2,0.717,2,0,2,0,1,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,space,4.262,"[""LeftButton_2""]",-0.335978836,-0.331216931,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,"[""LeftButton_2""]",-0.238095238,-0.320634921,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,"[""LeftButton_2""]",-0.208994709,-0.295238095,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.243386243,-0.494179894,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,1,RandomDot30.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.251322751,-0.515343915,1,0,0,RightButton,"[""RightButton""]",,,,,,,20,5.795,space,0,13.222,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,0.736,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.261904762,-0.496296296,1,0,0,LeftButton,"[""LeftButton""]",20,4.301,space,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.673,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.242063492,-0.48994709,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,29.55747956,1.691,space,0.831061942,4.615,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,2.591,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246031746,-0.534391534,1,0,0,LeftButton,"[""LeftButton""]",0,2.157,space,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,2.544,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244708995,-0.523809524,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,4.276,space,0,6.241,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,0.951,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.328042328,-0.525925926,1,0,0,RightButton,"[""RightButton""]",,,,,,,3,2.109,space,0,3.432,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,0.539,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257936508,-0.515343915,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.83699428,4.924,space,2.835230613,7.365,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,1.197,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291005291,-0.515343915,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,8,8,8,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248677249,-0.494179894,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,2.23,space,1,3.557,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,1.299,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.193121693,-0.504761905,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.70338304,3.133,space,0,5.933,0,10,10,10,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,0.448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253968254,-0.506878307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,11,11,11,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322751323,-0.485714286,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.331,space,0,3.71,,,,,,0,12,12,12,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.586,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.292328042,-0.525925926,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,1.843,space,2,3.092,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,1.145,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Smaller,Greater,,0.326719577,-0.528042328,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.97060553,2.734,space,1.231895676,5.604,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,1.389,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7U9hZc6iX0aCxva,1,2024-05-31_19h50.07.397,interaction task,2021.2.3,MacIntel,76.92307692,120419,,,,,,,,,,,,,,,,,Greater,Smaller,,0.321428571,-0.53015873,1,0,0,RightButton,"[""RightButton""]",1,2.018,space,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,0.667,,
