choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img,session.order
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,56,55]",space,6.0354,space,23.227,critical,1,5.5753,space,2.3796,0,0,0,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.522112772,7.8485,space,0.7659,0,1,1,33,1,34,image/34.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.932574728,3.7206,space,0.4763,0,2,2,4,1,5,image/5.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,6.648794158,3.9624,space,1.7399,0,3,3,18,1,19,image/19.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,4.62532269,2.7509,space,1.0832,0,4,4,2,1,3,image/3.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,7,4.1979,space,1.5334,0,5,5,52,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,7,4.336,space,1.0588,0,6,6,30,1,31,image/31.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.009825068,2.0282,space,0.7665,0,7,7,23,1,24,image/24.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,3.411413043,3.0857,space,1.2544,0,8,8,35,1,36,image/36.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,4.70404212,2.4365,space,0.292,0,9,9,3,1,4,image/4.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,3.709375,1.7941,space,0.7461,0,10,10,6,1,7,image/7.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.661616848,1.4614,space,0.2013,0,11,11,42,1,43,image/43.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,6.388459579,1.8773,space,0.2799,0,12,12,8,1,9,image/9.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,6.912389606,2.0013,space,0.7617,0,13,13,45,1,46,image/46.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,3.97679178,2.4,space,0.319,0,14,14,43,1,44,image/44.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.241143003,1.4055,space,0.2194,0,15,15,31,1,32,image/32.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,6.500501019,1.7671,space,0.2053,0,16,16,0,1,1,image/1.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,5.780842391,4.6394,space,1.377,0,17,17,26,1,27,image/27.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
,,,,,,6.764631454,1.5195,space,0.1457,0,18,18,32,1,33,image/33.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h04.02.093,face trait task,2021.2.3,MacIntel,60.24096386,120741,,,,,,,,
