choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,59,60]",space,1.6217,space,0.9179,critical,1,3.2428,space,8.1175,0,0,0,50,1,54,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,4.978668478,6.2615,space,4.4022,0,1,1,47,1,48,image/48.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.33147928,1.7606,space,1.2864,0,2,2,26,1,27,image/27.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,4.50459409,1.129,space,0.2179,0,3,3,9,1,10,image/10.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.380315897,1.0879,space,0.3744,0,4,4,33,1,34,image/34.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.534825068,1.0289,space,0.2887,0,5,5,15,1,16,image/16.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.534825068,1.046,space,0.2704,0,6,6,49,1,50,image/50.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.534825068,1.1594,space,0.2888,0,7,7,34,1,35,image/35.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.534825068,0.9127,space,0.4537,0,8,8,35,1,36,image/36.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.31295856,1.2389,space,0.1717,0,9,9,21,1,22,image/22.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,4.825101902,1.2199,space,0.1862,0,10,10,8,1,9,image/9.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,7,3.3148,space,6.6903,0,11,11,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,3.482107677,2.3623,space,3.6832,0,12,12,48,1,49,image/49.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.167060122,1.7121,space,0.6052,0,13,13,32,1,33,image/33.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
,,,,,,5.55344769,1.4053,space,0.5744,0,14,14,36,1,37,image/37.jpg,0,0,,R_7VPVdZSfqq3ow3V,2,2024-05-23_20h17.12.201,face trait task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,
