chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[97,88,173,47,99,0,171,115,200,15,51,75,35,85,71,184,134,160,148,129,163,68,121,183,58,79,194,95,136,118,137,146,130,49,64,164,181,178,105,76,108,155]",R_7VPVdZSfqq3ow3V,space,1.4516,space,3.6229,space,13.5522,space,20.9903,space,42.0435,space,11.2101,space,6.8486,1,24.8827,1,13.8907,3,12.5128,2,9.6408,2,11.4485,0,0,0,0,1,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2707,space,0.394,space,0.2906,space,0.2396,space,2.2727,space,1.0941,3,2.2223,1,2.8521,2,2.0651,2,1.6564,2,0.7484,1,0,1,0,1,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6419,space,0.4074,space,0.197,space,0.1735,space,7.0772,space,0.9392,2,5.676,1,5.0799,2,2.4397,2,1.2155,2,0.5075,2,0,2,0,1,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9567,space,0.0997,space,0.124,space,0.1349,space,0.6413,space,0.744,3,2.2779,1,3.1835,3,3.6247,2,1.4233,2,0.6974,3,0,3,0,1,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,space,3.883,"[""RightButton_2""]",0.325664328,-0.338400136,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,"[""LeftButton_2""]",-0.220705782,-0.300959579,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,"[""LeftButton_2""]",-0.273007015,-0.330655571,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.28452381,-0.485631793,1,0,0,LeftButton,"[""LeftButton""]",9,8.0174,space,1.3156,,,,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283482143,-0.53414572,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,81.04922525,4.7141,space,20.04054147,7.7636,0,1,1,1,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,0.8803,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.261330782,-0.531165082,1,0,0,RightButton,"[""RightButton""]",,,,,,,,100,6.5009,space,60,24.3723,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,3.6801,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305277423,-0.49898947,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28046875,-0.507939878,1,0,0,RightButton,"[""RightButton""]",3,3.6657,space,0.8836,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240088223,-0.515353261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.223060162,-0.504517663,1,0,0,RightButton,"[""RightButton""]",,,,,,,,79,8.8813,space,60,10.7442,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,0.9018,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311251063,-0.520558764,1,0,0,RightButton,"[""RightButton""]",,,,,4.954985119,11.0062,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,0.8738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.331117134,-0.481751019,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.236899447,-0.501817255,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,0,both_right.png,1,RandomDot35.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255213648,-0.476019022,1,0,0,LeftButton,"[""LeftButton""]",20,5.7055,space,0.8006,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.236973852,-0.494055707,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,59,5.1472,space,0,8.2296,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,1.1338,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281866497,-0.471603261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.312935799,-0.511081861,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.44749364,16.1994,space,1.426467051,18.9553,0,13,13,13,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.5691,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Smaller,Greater,,0.31754358,-0.469200068,1,0,0,RightButton,"[""RightButton""]",,,,,4.97876807,6.0412,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,1.8194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.246789966,-0.529016644,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.84658232,4.0171,space,62.40455147,7.1916,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,2.5446,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.254751276,-0.462083899,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,6.717,space,0,9.2029,0,16,16,16,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,0.8672,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7VPVdZSfqq3ow3V,1,2024-05-23_19h45.25.482,interaction task,2021.2.3,MacIntel,59.88023952,120741,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318973214,-0.515149457,1,0,0,RightButton,"[""RightButton""]",,,,,4.938111182,5.237,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,0.8146
