key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,25.717,space,65.755,space,2.0337,2,8.3393,0,0,0,48,1,49,image/49.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,1,1.6166,0,1,1,23,1,24,image/24.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,2.1335,0,2,2,35,1,36,image/36.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,2.1773,0,3,3,42,1,43,image/43.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,3.4567,0,4,4,11,1,12,image/12.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,1.5376,0,5,5,9,1,10,image/10.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.3938,0,6,6,37,1,38,image/38.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,2.0909,0,7,7,16,1,17,image/17.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,1.5335,0,8,8,45,1,46,image/46.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,1.7877,0,9,9,30,1,31,image/31.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,7,2.0198,0,10,10,27,1,28,image/28.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,1.5807,0,11,11,28,1,29,image/29.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
