chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,key_guilt.rt,key_forgiveness.rt,key_apology.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[1,7,4,15,12,22,25,31,32,43,40,39,52,56,59,60,64,70,78,76,75,94,88,93,106,104,102,118,109,115,125,121,131,139,143,137,151,155,146,163,165,167,178,175,174,180,184,183,192,199]",R_7dS7fGcto4aBF0E,space,1.7891,space,12.4477,space,41.9395,space,11.1369,space,14.6876,space,5.3667,space,10.3432,3,8.1383,1,16.5998,3,9.3926,2,16.9592,2,3.6989,0,0,0,0,1,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,space,6.9462,"[""LeftButton_2""]",-0.285416667,-0.259259259,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.307291667,-0.331481481,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.294791667,-0.337037037,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.3375,-0.52037037,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,9,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.232291667,-0.525925926,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,1,1,0,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285416667,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,2,2,8,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285416667,-0.511111111,0,0,0,,[],,,,,,,,,,,,,,,,,0,3,3,6,1,0,both_right.png,2,RandomDot39.png,No answer,20,15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,4,4,35,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,12,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,5,5,42,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,6,6,45,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,7,7,2,1,0,both_right.png,0,RandomDot20.png,No answer,19,31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.334375,-0.968518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,8,8,1,1,0,both_right.png,0,RandomDot27.png,No answer,19,32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3125,-0.494444444,1,0,0,LeftButton,"[""LeftButton""]",53,4.2236,space,,,,,,,,,,,,,,0,9,9,38,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,2.0529,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.35,-0.516666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,93.03451178,10.4012,space,9.175084175,13.7954,0,10,10,33,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,9.4746,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295833333,-0.475925926,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,7.8303,space,8,11.4434,,,,,,0,11,11,32,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,,1.4525,,,,,,
