chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
"[52,60,48,85,75,71,19,144,98,93,86,171,118,82,126,156,175,167,147,160,141,6,63,81,117,148,28,99,143,198,110,195,179,103,181,190,53,140,38,130,131,180]",R_7dZ8IU3hLSkW652,space,1.5857,space,2.4795,space,30.1515,space,14.5797,space,31.9937,space,8.041,space,3.6749,3,4.6597,1,5.3264,3,6.8725,2,8.8206,2,2.8765,0,0,0,0,1,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,space,2.4529,"[""RightButton_2""]",0.268183901,-0.289079229,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,"[""LeftButton_2""]",-0.228023177,-0.324768066,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,"[""LeftButton_2""]",-0.331548402,-0.339043627,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.319946452,-0.517487552,1,0,0,LeftButton,"[""LeftButton""]",50,9.5761,space,5.217,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.199464525,-0.540328424,1,0,0,RightButton,"[""RightButton""]",,,,,3.858768407,12.9431,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.2365,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.286032967,-0.487508966,1,0,0,LeftButton,"[""LeftButton""]",58,2.4914,space,1.175,,,,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298527443,-0.520342612,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.70991685,5.419,space,30.75354441,6.9975,0,3,3,3,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,0.8495,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.233377929,-0.497501872,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,21,5.8036,space,23,8.7224,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.8995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.299419929,-0.536045769,1,0,0,RightButton,"[""RightButton""]",,,,,4.08188336,4.3362,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,0.4276,,
