choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,51,60]",space,57.9855,space,44.9844,competent,4.011241319,10.9612,space,3.3908,0,0,0,37,1,38,image/38.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,2.975086806,3.9641,space,3.9309,0,1,1,41,1,42,image/42.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,6.03125,3.3511,space,1.8842,0,2,2,42,1,43,image/43.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,4.496028646,3.8871,space,0.492,0,3,3,13,1,14,image/14.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,3.55234375,3.9987,space,0.3506,0,4,4,33,1,34,image/34.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,6.486805556,3.8242,space,0.3022,0,5,5,49,1,50,image/50.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,2.022916667,2.879,space,0.5588,0,6,6,2,1,3,image/3.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,2.03218316,2.0385,space,0.4012,0,7,7,14,1,15,image/15.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,3.013411458,2.8462,space,2.2943,0,8,8,38,1,39,image/39.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,4.091579861,2.8801,space,0.7213,0,9,9,32,1,33,image/33.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,1.38218316,2.8373,space,0.246,0,10,10,48,1,49,image/49.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,6.130078125,2.2976,space,0.2782,0,11,11,7,1,8,image/8.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,5.037022569,2.3003,space,0.3789,0,12,12,36,1,37,image/37.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,5.97593316,2.1555,space,0.2708,0,13,13,20,1,21,image/21.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,4.996896701,2.3377,space,0.315,0,14,14,23,1,24,image/24.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
,,,,,,4.338563368,3.4295,space,0.1612,0,15,15,27,1,28,image/28.jpg,0,0,,R_7lxhI87CHabQjfc,2,2024-05-07_20h39.56.937,face trait task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,
