chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
"[146,148,95,50,61,79,47,119,159,142,197,203,94,168,156,22,185,62,99,85,108,140,179,82,184,163,136,100,122,124,55,5,115,52,101,29,174,181,76,131,70,147]",R_7lxhI87CHabQjfc,space,1.4596,space,6.0588,space,14.8611,space,27.7954,space,36.9966,space,14.1339,space,5.6309,3,6.6352,1,10.1814,3,7.7678,2,40.224,2,5.2487,0,0,0,0,1,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,space,2.9827,"[""LeftButton_2""]",-0.258079246,-0.328949653,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,"[""RightButton_2""]",0.23614728,-0.318410012,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,"[""LeftButton_2""]",-0.286471897,-0.292151331,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,0.295441804,-0.507935475,1,0,0,RightButton,"[""RightButton""]",49,6.3952,space,1.6701,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280779803,-0.510973669,1,0,0,LeftButton,"[""LeftButton""]",50,3.6003,space,0.678,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.264435945,-0.498343461,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,50.22925289,5.78,space,69.21979488,13.7085,0,2,2,2,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,1.8782,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.228022823,-0.489829282,1,0,0,LeftButton,"[""LeftButton""]",55,5.5186,space,1.2912,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222041377,-0.523350694,1,0,0,RightButton,"[""RightButton""]",,,,,2.58070204,14.4798,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,1.21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.361011646,-0.504600694,1,0,0,RightButton,"[""RightButton""]",,,,,,,,99,4.3003,space,10,8.4191,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,1.1427
