choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,57,53]",space,77.8893,space,21.3,friendly,3.038889143,9.5519,space,5.7667,0,0,0,21,1,22,image/22.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,1.994444529,4.8176,space,0.4493,0,1,1,27,1,28,image/28.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,3.961111281,2.4026,space,0.2716,0,2,2,2,1,3,image/3.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,3.005555471,1.9222,space,0.3029,0,3,3,23,1,24,image/24.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,3.005555471,1.2523,space,0.2802,0,4,4,15,1,16,image/16.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,6.988889058,8.166,space,0.7013,0,5,5,50,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,6.005555895,3.7076,space,0.3195,0,6,6,31,1,32,image/32.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,2.966666751,2.1251,space,0.6844,0,7,7,6,1,7,image/7.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,6.033333672,2.9707,space,0.2725,0,8,8,43,1,44,image/44.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
,,,,,,1.994444529,3.7364,space,0.4558,0,9,9,30,1,31,image/31.jpg,0,0,,R_7m3jTTuD6pGKm7S,2,2024-05-21_20h12.53.950,face trait task,2021.2.3,Win32,59.88023952,120823,,,,,,,
