chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[78,171,147,110,76,155,170,133,135,148,60,138,9,169,203,123,113,129,98,159,39,195,20,82,165,184,100,58,32,48,64,67,49,187,89,125,118,188,86,161,95,103]",R_7m3jTTuD6pGKm7S,space,4.3799,space,3.256,space,21.2329,space,40.2994,space,42.953,space,8.8345,space,4.283,2,11.81,1,8.4102,2,7.2723,2,15.1324,2,4.7977,0,0,0,0,1,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5877,space,14.925,space,9.7502,space,3.6031,space,8.765,space,1.3218,3,1.9034,1,2.4887,3,8.1295,2,2.4026,2,0.7317,1,0,1,0,1,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,space,3.9657,"[""RightButton_2""]",0.260416667,-0.333333333,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,"[""LeftButton_2""]",-0.260416667,-0.32222225,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,"[""RightButton_2""]",0.311458349,-0.300000085,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.28125,-0.483333305,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.6318,space,2.7296,0,10.8656,,,,,,0,0,0,0,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297916651,-0.488888917,1,0,0,RightButton,"[""RightButton""]",,,,,,,10,2.1435,space,1.2396,0,5.9552,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268750032,-0.501851824,1,0,0,RightButton,"[""RightButton""]",0,6.3186,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,3.0426,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.304166714,-0.53333339,1,0,0,RightButton,"[""RightButton""]",,,,4.963541826,10.5274,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,1.5683,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.300000032,-0.494444529,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,3.7874,space,0.9556,0,5.2291,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293750048,-0.53333339,1,0,0,RightButton,"[""RightButton""]",9,2.5993,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,1.1697,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260416667,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,8,2.6848,space,0.7576,0,4.1805,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.367708365,-0.48518527,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,79.88215649,10.9572,space,29.37710598,8.4839,0,7,7,7,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,3.6012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.296875,-0.477777834,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.55808723,2.4689,space,0,4.212,0,8,8,8,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,1.1961
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7m3jTTuD6pGKm7S,1,2024-05-21_19h55.22.150,interaction task,2021.2.3,Win32,59.88023952,120823,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288541714,-0.501851824,1,0,0,RightButton,"[""RightButton""]",9,2.5742,space,,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,0.8467,,
