choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,50,60]",space,6.8214,space,34.945,critical,3.999427083,4.7946,space,0.7659,0,0,0,3,1,4,image/4.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,2.999973958,6.7756,space,0.5278,0,1,1,15,1,16,image/16.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,5.004010417,6.26,space,0.536,0,2,2,30,1,31,image/31.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,2.99921875,3.5415,space,0.4973,0,3,3,22,1,23,image/23.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,3.992135417,4.0954,space,0.4263,0,4,4,20,1,21,image/21.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,3.987708333,5.4002,space,0.4025,0,5,5,29,1,30,image/30.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,6.018541667,2.8974,space,0.462,0,6,6,47,1,48,image/48.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,5.986223958,2.3342,space,0.6651,0,7,7,45,1,46,image/46.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,5.011276042,2.5464,space,0.452,0,8,8,19,1,20,image/20.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,5.007447917,5.7002,space,1.7825,0,9,9,1,1,2,image/2.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
,,,,,,3.995260417,4.5279,space,0.3774,0,10,10,27,1,28,image/28.jpg,0,0,,R_7mRgBYfm8mjMQG1,2,2024-05-30_15h46.15.648,face trait task,2021.2.3,MacIntel,62.11180124,120763,,,,,,,
