chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[153,196,141,177,93,49,62,3,71,161,155,69,140,105,185,172,13,83,183,135,148,122,77,200,75,159,50,131,52,110,101,88,124,169,162,186,96,31,116,41,108,89]",R_7mRgBYfm8mjMQG1,space,1.5174,space,4.0879,space,16.2806,space,25.9418,space,41.2682,space,10.4335,space,4.4609,3,12.8658,1,9.1972,3,7.4974,2,6.9784,2,6.11,0,0,0,0,1,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,space,3.9909,[],0.516628689,-0.529826389,0,0,0,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,"[""LeftButton_2""]",-0.237310113,-0.338637153,1,0,0,0,1,1,0,1,RightButton_2,9dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,"[""RightButton_2""]",0.266351997,-0.283967014,1,0,0,0,2,2,2,1,LeftButton_2,9dot1.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,0,0.248942057,-0.539401042,1,0,0,RightButton,"[""RightButton""]",0,3.8077,space,1.8348,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.340977648,-0.537005208,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.321148003,-0.532022569,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,4.3154,space,0,9.8968,0,2,2,2,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.9174,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.271294488,-0.493272569,1,0,0,RightButton,"[""RightButton""]",,,,,,,,40,7.5612,space,10,15.1599,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,1.0006,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Smaller,Greater,,,0.300938585,-0.496701389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,2.9311,space,0,6.8769,0,4,4,4,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,1.6635,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7mRgBYfm8mjMQG1,1,2024-05-30_15h31.17.124,interaction task,2021.2.3,MacIntel,57.47126437,120763,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.28710395,-0.502074653,1,0,0,LeftButton,"[""LeftButton""]",0,3.0175,space,0.9141,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
