chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[84,146,133,76,199,182,155,170,66,63,30,196,67,42,176,111,161,129,2,156,185,116,163,134,186,175,126,152,102,121,92,55,98,73,89,14,141,58,80,101,57,118]",R_7smoBYcMfiEmyTu,space,1.7218,space,10.1706,space,28.4335,space,16.6093,space,337.5487,space,30.2461,space,53.0221,2,7.7464,3,7.2138,2,15.4727,2,15.6986,3,5.1272,0,0,0,0,1,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.0083,space,0.4714,space,5.7032,space,12.2637,space,2.9518,space,1.3334,1,3.3403,1,6.2842,3,6.0306,2,3.0813,2,1.7326,1,0,1,0,1,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.8123,space,7.9431,space,0.3243,space,0.4639,space,1.2826,space,1.1631,3,1.603,1,31.9919,3,2.6971,2,4.0468,2,0.618,2,0,2,0,1,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,space,0.9765,[],0.124390685,-0.300629845,0,0,0,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,"[""LeftButton_2""]",-0.306430985,-0.340853117,1,0,0,0,1,1,1,1,LeftButton_2,9dot2.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,"[""LeftButton_2""]",-0.250349903,-0.302729328,1,0,0,0,2,2,0,1,RightButton_2,9dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,-0.26245777,-0.49969719,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.83595609,5.8121,space,1.1612,79.23479486,8.9528,0,0,0,0,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.261993243,-0.530240633,1,0,0,RightButton,"[""RightButton""]",61,2.7051,space,,,,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,0.8506,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.260581564,-0.518966005,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.97611248,3.7192,space,0.4209,0,5.1349,0,2,2,2,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.272267133,-0.537528262,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,5.5122,space,60,13.3879,,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,3.1448,,,,,,,
