choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,59,56]",space,11.0396,space,2.6978,trustworthy,3.015370245,7.833,space,0.8531,0,0,0,33,1,34,image/34.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,6.985861073,5.0706,space,0.9158,0,1,1,51,1,60,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,5.255052649,12.3897,space,1.7627,0,2,2,17,1,18,image/18.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,1.027742867,4.4564,space,0.5709,0,3,3,43,1,44,image/44.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,5.995805027,3.9255,space,0.3287,0,4,4,3,1,4,image/4.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,6.954679008,1.9833,space,0.4052,0,5,5,26,1,27,image/27.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,5.974074389,2.9531,space,1.7517,0,6,6,12,1,13,image/13.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,1.939334239,2.3352,space,1.2863,0,7,7,16,1,17,image/17.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,5.981080163,2.0896,space,0.831,0,8,8,11,1,12,image/12.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,1.045524796,5.5784,space,0.369,0,9,9,39,1,40,image/40.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,1.045524796,1.2468,space,0.3891,0,10,10,25,1,26,image/26.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
,,,,,,1.045524796,1.3978,space,0.4068,0,11,11,6,1,7,image/7.jpg,0,0,,R_809hAgXHcl3WkRr,2,2024-05-20_11h55.29.362,face trait task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,
