chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[146,57,33,17,53,75,177,48,191,154,139,159,68,199,109,192,91,11,98,186,73,125,101,69,168,124,115,136,170,162,158,99,79,150,85,62,142,40,130,84,117,190]",R_809hAgXHcl3WkRr,space,1.6855,space,5.0365,space,18.0786,space,27.2195,space,38.4707,space,25.8045,space,6.0891,1,18.3994,1,49.3883,3,12.372,1,17.4847,3,4.5725,0,0,0,0,1,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2295,space,19.0298,space,1.2246,space,31.4039,space,3.5958,space,0.6279,3,6.9824,1,4.4438,3,3.8986,2,4.6494,2,7.2787,1,0,1,0,1,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,space,4.8613,"[""LeftButton_2""]",-0.267777423,-0.328617527,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,"[""LeftButton_2""]",-0.250791879,-0.318316916,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,"[""RightButton_2""]",0.281122449,-0.271238111,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,0,-0.232254464,-0.494420856,1,0,0,LeftButton,"[""LeftButton""]",20,16.2928,space,4.8511,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.267171556,-0.536039402,1,0,0,LeftButton,"[""LeftButton""]",0,1.8038,space,0.4474,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.332892219,-0.484909986,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,0.296492347,-0.506640625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280351828,-0.503226902,1,0,0,LeftButton,"[""LeftButton""]",0,1.5873,space,0.8512,,,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.299984056,-0.461897079,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,10,9.0532,space,50,15.1867,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,2.5879,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.003204719,-0.309859035,0,0,0,,[],,,,,,,,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,177,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3060321,-0.500560462,1,0,0,RightButton,"[""RightButton""]",0,2.0891,space,1.3083,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.338998724,-0.504347826,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,5.0815,space,0,8.3828,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,0.8611,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.338238733,-0.53469769,1,0,0,RightButton,"[""RightButton""]",0,1.909,space,0.6011,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,,,,,,
