participant,competent,critical,friendly,trustworthy
R_12tSZmx8hSuXu6d,5.362652853217392,4.6089210465,3.9089340572033895,4.0302376994468085
R_13m40r672zQl4g7,3.6528861676136355,3.1196225115227274,3.6557365451333332,4.158338090683333
R_1Et4aI0weGQGovt,4.7928355768085105,4.422929776978262,4.112176010170212,4.509868027155173
R_1FEbkzkWgC4zflT,5.551999999955555,4.067005649745763,4.160757575795453,3.618181818136364
R_1FQhiEgg2BqpONz,3.8503989361914885,3.953177649456521,3.5747523271489365,3.6114157986666666
R_1JOTZSNdzRD5obR,4.979098523327869,4.213000132333335,4.017234188787233,4.044130557565217
R_1QYUgALf2MKc3vp,4.7445626476808505,4.586885245934425,4.112174940957447,4.056818181795453
R_1RlIO1DP8koMWuo,4.604540326204546,4.086193659088888,4.195683910280701,3.9446599572564103
R_1WtVKNu6flh5Sp7,6.569034791885251,4.199396220934783,4.123309273652173,4.111702235808511
R_1YUzjPBvYVnwzBL,4.728875236304348,4.392934782583333,3.882826086900001,3.0106673408139533
R_1dEQmznFrOUMB26,5.053660852304348,4.251856446319149,4.058011307918033,4.086460038608696
R_1g31aXiXPgtLRgR,4.676219023895834,4.177867997533333,4.109402731155555,3.6939054210999993
R_1hbYZAAG1H7UZQE,3.6492598684210527,4.002327127659575,4.236922554347826,3.9169921875
R_1lh2G802tSwgxMU,1.7188353279999997,2.8587363872500005,3.016344288758621,2.0574434840212765
R_1lsKKVQpKnRQfFs,3.665454621106382,4.068140574468085,3.742044061630434,3.7716329103559327
R_2D6PXoNGiJXqobD,4.772686457818181,3.398754570883334,2.7204657224047617,3.1942761274347835
R_2KryIkmTCOb6eUU,6.0320191599322035,4.505504162808511,3.7795368620869563,3.552318840577778
R_2KyfqZxEJXtBkzL,4.646388993416666,4.76182044374468,3.856884140847825,4.131560359361703
R_2M3BSrq6ZzSs0t3,4.020477014786885,3.9367851354468093,3.9623836089574476,4.218500605822222
R_2dZ82kJ2ybI5Wiu,3.7635575389833344,4.6807480046666665,3.0983212488139533,3.1900363209777773
R_2ewvKYOw2lIyB6E,4.092345305574468,4.10371888580851,4.648161744644445,3.961163961847458
R_2imqlVYkXvGkEUD,4.011588071622952,3.597262028195652,4.133030945042552,3.9665223489565222
R_31BwcmFMmY8Wg3q,3.664202898565216,3.6733333332881353,3.5672592592444445,2.638550724673913
R_3FJcVxSy2lNvUyM,6.0056646286304325,4.190393949489362,4.074490642677966,4.453986545166667
R_3Hq0pKoFXUeyfKX,4.019761746425534,4.017912615755557,3.3529565602553193,3.733414019737706
R_3NHYjetBGepYbrK,4.342353480456521,4.194289028416667,3.747540764744681,3.7400953162826083
R_3VjvlLbPe9t3xLs,5.489613685173913,4.093989271229506,4.775483294478258,3.6351065886808502
R_3Vxfev3MGsXgbK1,4.540646196697675,3.446268284617021,3.796455910906978,3.4782466700819663
R_3WksQ064xj6JYYN,4.446618530695651,4.175423853745762,3.841358167866667,3.848545134952381
R_3YovKuFHnYI49gt,4.322814814800001,3.844347826108694,3.216124030976743,4.853785310745763
R_3ekubxwa9Ik5zUP,4.119286000111112,3.939297876600001,3.3606053373404263,3.324132257749999
R_3g0YlMh4uWQIm91,4.86101633489362,4.866600758688525,3.3599585579782625,3.186424905543479
R_3z8wN509TuVnNc6,3.924347826086956,3.9914619883508786,3.699432624170212,4.037163120659574
R_3zJ5QiBCzzLGrFb,4.209361702212765,3.922555555516666,3.974347826065217,3.884539007042553
R_54voFul3k9D7bqr,4.422298850586208,3.985652173891304,4.112248061976744,3.9079710144999997
R_59nXN3KJnjYkf8b,3.321777801577778,4.059270962020837,2.8736956927826087,3.119491473966102
R_5EccKcotuRFOO33,3.7557062147796616,4.584227642292682,4.094861111104167,3.8034042552978713
R_5LgU1eXqKtcFTuL,6.290814136659089,3.883683418118645,5.131607026804347,5.823126255391304
R_5PyR4YVF9PC296x,4.303840314723404,3.860332991770491,3.232498337723404,3.9574450231333325
R_5SxAnX25qTwpM5H,3.875927457456522,3.7148408591489352,3.4357255730000005,3.26326638925
R_5gBJYH1TXEzkJ8L,4.976406250043477,4.0153515625434775,3.801817375893618,4.745186197966665
R_5lSB76siDkwnBL3,5.480747662333334,2.844405082723404,4.709921958829787,6.109109848783331
R_5uP9JJsaCJo6OOz,5.718978605934783,4.9258391881147565,4.178318135787234,4.414354727326086
R_6JCnE5DyshtV1nw,5.275788713836365,3.8895485659565217,4.191636662200001,3.1970526061489357
R_701Ahvlhq3udAHc,5.358156212361702,3.942105414877192,3.8647288122558137,3.3918983300208336
R_71Et5V1BaqiJuoR,3.9949869791000006,4.938016557206897,3.4431480844615376,3.709988707382979
R_73JC3XxCdLeJrlD,6.300130208333333,4.247961956521739,3.8722826086956523,4.565726902173913
R_75PkJGK4ZpN5clP,3.8518323032619035,4.361739929152174,3.779341456488372,4.1617409302459025
R_7LzE0pjYtdObtSm,4.342391304304348,4.355047899881354,4.28624763704348,4.050647548553191
R_7PyO7Fjqtbjl581,4.4319548012608685,4.169796642750001,3.9257129517166667,4.040827676456523
R_7eap0FQxb1TrCnY,5.0355072463043475,3.875744680893617,4.1836879432765945,4.80844444445
R_7lxhI87CHabQjfc,4.147533590000002,3.68519208260465,4.02176462224138,3.9193836805999993
R_8cvY6RMpIIbMEo3,4.4260654558936166,4.348069027673914,3.97490049776087,4.012387907550001
