USERID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,浏览器,操作系统,屏幕宽度,审批状态,是否一次性作答完成,
	598856622046969856,	848724887395897345,爱购i,	2024-05-31 01:29:12.0,39分31秒,WEB,直接访问,112.111.197.33,Chrome,Win,1536*738,系统采纳,是,
	634785034254942208,	848725136818573314,繁星点点,	2024-05-31 02:08:59.0,1小时18分17秒,WEB,直接访问,219.152.93.71,Chrome,Win,1396*719,系统采纳,是,
	634800368890413056,	848725277101264898,加多宝,	2024-05-31 01:44:02.0,52分48秒,WEB,直接访问,61.158.134.211,Edge,Win,1190*671,系统采纳,是,
	674580188150890496,	848725339197808641,王子鸣,	2024-05-31 01:31:25.0,39分56秒,WEB,直接访问,210.75.240.11,Edge,Win,1699*838,系统采纳,是,
	733820079237763073,	848725449428439041,用户30686,	2024-05-31 01:33:30.0,41分35秒,WEB,直接访问,171.106.22.219,Chrome,Win,1920*919,系统采纳,是,
	805785403947884546,	848725570488508417,快乐修勾,	2024-05-31 01:33:37.0,41分13秒,WEB,直接访问,144.0.180.134,Chrome,Win,1872*936,系统采纳,是,
	783433634635059202,	848725598238023682,守护,	2024-05-31 01:42:27.0,49分56秒,WEB,直接访问,58.144.197.98,Chrome,Win,1366*609,系统采纳,是,
	718579717107613696,	848725658434674689,er3,	2024-05-31 02:05:34.0,1小时12分49秒,WEB,直接访问,120.204.204.189,Firefox,Win,1706*799,系统采纳,是,
	842546806712963074,	848725714357329922,我努力赚钱,	2024-05-31 01:55:05.0,1小时2分7秒,WEB,直接访问,171.106.120.115,Chrome,Win,1659*915,系统采纳,是,
	802948118718062593,	848725787036229633,一 一,	2024-05-31 01:33:48.0,40分32秒,WEB,直接访问,111.58.223.127,Chrome,Win,1280*551,系统采纳,是,
	787452299197947905,	848725793700978690,用户41526,	2024-05-31 02:00:22.0,1小时7分5秒,WEB,直接访问,58.144.197.98,Chrome,Win,1366*638,系统采纳,是,
	848279010759938050,	848725816732028930,好运跟着来呗,	2024-05-31 01:38:56.0,45分33秒,WEB,直接访问,171.106.120.115,Edge,Win,1659*945,系统采纳,是,
	817149722258186242,	848725856342908930,用户7465,	2024-05-31 01:37:55.0,44分23秒,WEB,直接访问,111.58.69.71,Chrome,Win,1215*647,系统采纳,是,
	842546739910283266,	848725899217211394,用户54653,	2024-05-31 01:44:02.0,50分20秒,WEB,直接访问,112.224.22.107,Edge,Win,1486*812,系统采纳,是,
	718587701518925824,	848725925486010369,sppq,	2024-05-31 02:38:48.0,1小时44分58秒,WEB,直接访问,120.204.204.189,Chrome,Win,1666*804,系统采纳,是,
	598867196789129216,	848735087016157186,这是一个小天才,	2024-05-31 02:17:45.0,47分32秒,WEB,直接访问,36.35.119.118,Chrome,Win,1536*703,系统采纳,是,
	634030444760793088,	848743280937275393,笙笙,	2024-05-31 03:02:14.0,59分27秒,WEB,直接访问,113.77.54.2,Firefox,Win,1280*666,系统采纳,是,
	810207149157392386,	848775654567714817,土豆洋芋薯片,	2024-05-31 04:54:24.0,42分58秒,WEB,直接访问,14.150.9.99,Chrome,Win,1232*579,系统采纳,是,
	804398428963610626,	848906521894195201,挽冬,	2024-05-31 13:38:13.0,46分47秒,WEB,直接访问,112.8.216.172,Chrome,Win,1280*631,系统采纳,是,
