﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,incompleteTrials,key_apology.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
"[52,35,22,51,62,59,44,3,68,82,76,60,89,79,88,93,105,106,119,98,130,133,138,109,115,121,142,122,152,150,165,159,148,163,180,171,182,191,203,169,196,176]",er3,space,2.111,space,1.085,space,29.96,space,3.721,space,0.861,space,1.158,space,0.475,3,1.915,1,3.223,3,3.702,2,0.564,2,1.71,0,0,0,0,1,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,space,0.965,"[""LeftButton_2""]",-0.226260258,-0.329166667,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,9dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,"[""RightButton_2""]",0.309495897,-0.35625,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,"[""RightButton_2""]",0.248534584,-0.3125,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,0.4,-0.294255569,-0.539583333,1,0,0,LeftButton,"[""LeftButton""]",39,2.274,space,0.79,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,-0.262602579,-0.472916667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,0.337631887,-0.472916667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot21.png,No answer,20,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,-0.315357562,-0.504166667,1,0,0,LeftButton,"[""LeftButton""]",31,2.368,space,1.129,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,大于,小于,,0.311840563,-0.53125,1,0,0,RightButton,"[""RightButton""]",,,,,1.110785463,3.178,space,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,0.601,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,er3,1,2024-05-31_01h32.36.846,interaction task chi,2021.2.3,Win32,165.5629139,,,,,,,,,,,,,,,,,小于,大于,,0.092614302,-0.147916667,0,0,0,,[],,,,,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,59,,,,,,,,,,,,,,,,,
