﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
"[63,88,179,69,73,58,101,163,115,138,26,67,136,156,192,177,144,86,200,188,125,106,9,187,80,53,150,174,20,155,45,49,90,100,137,77,110,189,127,114,121,157]",加多宝,space,83.0977,space,0.45,space,53.6063,space,6.0661,space,19.18,space,0.9416,space,1.034,3,1.6795,3,2.3629,3,6.0405,2,8.2265,1,5.5488,0,0,0,0,1,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3563,space,0.6712,space,0.5449,space,1.2092,space,2.1995,space,0.8238,3,0.9751,1,0.439,3,0.6196,2,1.7949,2,0.3504,1,0,1,0,1,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,space,0.5004,"[""LeftButton_2""]",-0.283717177,-0.334816973,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.256727184,-0.284216684,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.228282828,-0.32732073,1,0,0,RightButton_2,0,2,2,2,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,0.4,-0.270787896,-0.479121419,1,0,0,LeftButton,"[""LeftButton""]",,,,3.056450768,6.5211,space,1.5294,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,0.347232333,-0.499736378,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,72.46659144,10.1478,space,49.2331308,5.1653,0,1,1,1,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,2.6514,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.987070709,0.546002948,0,0,0,,[],,,,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,179,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.312161656,-0.490366007,1,0,0,LeftButton,"[""LeftButton""]",,,,3.883457893,2.7351,space,1.9085,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,加多宝,1,2024-05-31_01h01.13.809,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.252686903,-0.490366007,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,57,2.8654,space,74,6.9722,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,0.3842,,,,,,,,,,,,,,,,
