﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[111,132,102,121,149,76,188,189,70,140,146,84,88,35,99,160,128,50,52,81,165,202,179,170,65,58,22,139,114,164,9,126,94,151,47,64,194,172,105,72,185,110]",土豆洋芋薯片,space,1.5538,space,1.6747,space,5.3051,space,61.124,space,23.3593,space,13.834,space,2.2352,2,10.431,1,6.5489,1,7.4497,2,6.1841,1,8.8838,0,0,0,0,1,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1428,space,9.4475,space,1.1815,space,24.7781,space,4.3347,space,0.6838,3,1.2628,1,2.2789,2,4.8992,2,3.0933,2,1.0073,1,0,1,0,1,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.4229,space,0.5862,space,0.6863,space,2.0346,space,9.0567,space,0.6675,3,1.4442,1,1.264,3,3.1156,2,2.9695,2,0.9334,2,0,2,0,1,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,space,3.6946,"[""LeftButton_2""]",-0.278125,-0.287037065,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,"[""LeftButton_2""]",-0.253125,-0.320370399,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,"[""LeftButton_2""]",-0.253125,-0.320370399,1,0,0,LeftButton_2,0,2,2,0,1,RightButton_2,9dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,0.2,0.255208397,-0.485185242,1,0,0,RightButton,"[""RightButton""]",,,,1,11.049,space,1.8744,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,-0.260416651,-0.490740797,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,9.806398912,10.7658,space,11.70033831,8.6411,0,1,1,1,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,3.1109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,小于,大于,,-0.301041651,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",1,2.0528,space,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,1.8493,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土豆洋芋薯片,1,2024-05-31_04h12.47.231,interaction task chi,2021.2.3,Win32,59.99160118,,,,,,,,,,,,,,,,,大于,小于,,0.279166698,-0.492592706,1,0,0,RightButton,"[""RightButton""]",,,,,,,,1,5.173,space,40,10.0258,,,,,,0,3,3,3,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,4.615,,,,,,,,,,
