﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[110,177,6,130,82,154,182,94,15,172,132,117,26,58,165,60,47,147,52,187,163,128,66,158,103,86,96,201,108,151,67,178,142,74,88,143,194,131,189,97,55,77]",守护,space,2.414045,space,2.494475,space,20.934425,space,15.42727,space,15.39798,space,8.71785,space,4.46063,4,15.27728,1,7.145255,3,4.95674,1,20.8659,3,5.64873,0,0,0,0,1,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.492565,space,5.661545,space,2.20986,space,22.298115,space,2.360455,space,0.874445,2,2.775715,1,2.87513,3,2.184395,2,2.82906,2,4.22229,1,0,1,0,1,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.05858,space,5.664695,space,0.87226,space,0.80098,space,1.187495,space,0.80279,1,3.071795,1,1.92249,3,1.53215,2,1.79914,2,0.79531,2,0,2,0,1,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.726435,space,0.995815,space,0.74446,space,0.55155,space,1.61102,space,0.591065,3,2.80006,1,1.92037,3,1.355495,2,1.277735,2,0.513245,3,0,3,0,1,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,space,2.86676,"[""RightButton_2""]",0.308931186,-0.338541667,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,"[""RightButton_2""]",0.251830161,-0.333333333,1,0,0,RightButton_2,0,1,1,0,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,"[""LeftButton_2""]",-0.216691069,-0.330729167,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,大于,小于,0.4,0.248901903,-0.533854167,1,0,0,RightButton,"[""RightButton""]",,,,1.899707174,5.026745,space,1.24506,,,,,,,,,,,0,0,0,0,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,-0.235724744,-0.518229167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,88,2.93352,space,15,6.298545,,,,,,0,1,1,1,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,2.134865,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,守护,1,2024-05-31_24h59.13,interaction task chi,2021.2.3,Win32,50.14793641,,,,,,,,,,,,,,,,,小于,大于,,0.270863836,-0.528645833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,,,,,
