﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[90,96,170,169,153,158,17,180,144,78,159,102,93,46,104,89,196,131,0,168,128,48,76,109,133,187,200,114,119,52,55,32,138,64,60,148,80,65,157,191,141,130]",我努力赚钱,space,1.0828,space,0.7646,space,0.559,space,0.368,space,0.1884,space,0.8962,space,0.831,3,1.5971,1,1.6632,3,1.773,1,1.7895,2,0.8092,0,0,0,0,1,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0675,space,0.4356,space,0.2877,space,0.5547,space,0.7855,space,0.4838,3,1.4769,1,1.2574,3,1.668,2,1.0648,2,8.8542,1,0,1,0,1,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,space,0.8084,"[""LeftButton_2""]",-0.30560435,-0.303342782,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,"[""LeftButton_2""]",-0.258738504,-0.337082238,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,"[""RightButton_2""]",0.275532218,-0.33583259,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,0.4,-0.344659199,-0.547016634,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,67.24760682,2.0805,space,1.0757,79.09773162,2.795,0,0,0,0,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.300381854,-0.547540984,1,0,0,RightButton,"[""RightButton""]",32,9.3998,space,,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,3.9168,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.24291742,-0.524225954,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,69,3.7481,space,67,2.9404,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,1.7106,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.244122966,-0.479052868,1,0,0,RightButton,"[""RightButton""]",,,,,,,49,0.9763,space,46,1.7998,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,0.6191,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.234076704,-0.516939891,1,0,0,LeftButton,"[""LeftButton""]",85,2.0204,space,,,,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,1.0444,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,0.306007684,-0.538797814,1,0,0,RightButton,"[""RightButton""]",,,,3.996584712,3.3347,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,1.0103,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.287924428,-0.52568306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.320072333,-0.506739615,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,26.42150403,2.3904,space,0.3524,82.83132607,3.758,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.26702833,-0.541712293,1,0,0,LeftButton,"[""LeftButton""]",85,3.1563,space,,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,2.895,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.3148484,-0.51839713,1,0,0,RightButton,"[""RightButton""]",,,,,,,77,10.6851,space,57,12.0873,,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,2.5764,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.265420887,-0.532969124,1,0,0,LeftButton,"[""LeftButton""]",,,,2.035958156,2.4131,space,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,27.3101,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,-0.27265416,-0.497996446,1,0,0,LeftButton,"[""LeftButton""]",21,2.6319,space,,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,0.9695,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.252160034,-0.540255054,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,33.64521218,7.5754,space,0.5669,32.42773411,8.2204,0,12,12,12,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.358248039,-0.538797814,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.355033153,-0.524225954,1,0,0,RightButton,"[""RightButton""]",29,25.474,space,,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,2.0269,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,大于,小于,,-0.273457882,-0.522768715,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,24.79820242,4.2699,space,0.2698,49.47242705,3.5353,0,15,15,15,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我努力赚钱,1,2024-05-31_01h27.06.722,interaction task chi,2021.2.3,Win32,120.105693,,,,,,,,,,,,,,,,,小于,大于,,0.281896774,-0.508196721,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,
