﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[62,112,182,132,154,54,81,84,21,7,140,137,164,158,198,37,94,48,191,90,124,147,26,70,56,99,79,123,163,75,173,110,172,111,193,170,68,155,189,106,122,97]",挽冬,space,1.6073,space,8.5641,space,19.7508,space,28.148,space,56.193,space,12.2959,space,5.399,3,10.8996,3,11.2471,3,9.7188,2,6.9977,2,2.2027,0,0,0,0,1,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,8.355,space,4.4975,space,9.9647,space,1.8667,space,1.4036,space,1.4873,3,3.3166,1,3.4498,3,5.4906,2,1.7677,2,1.2011,1,0,1,0,1,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,space,5.8751,"[""RightButton_2""]",0.283333397,-0.309259288,1,0,0,RightButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,"[""LeftButton_2""]",-0.301041651,-0.325925954,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,"[""LeftButton_2""]",-0.290625,-0.274074131,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,0.4,-0.289583302,-0.475926039,1,0,0,LeftButton,"[""LeftButton""]",,,,4.973958492,8.8258,space,1.1196,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.328125,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,4.963541985,4.8354,space,0.8895,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.294791651,-0.490740797,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,70.09680777,9.358,space,49.47390893,13.6183,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,2.6332,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,大于,小于,,-0.279166651,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.08838384,4.4057,space,20.22306558,6.5214,0,3,3,3,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,1.2168,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,挽冬,1,2024-05-31_12h55.43.673,interaction task chi,2021.2.3,Win32,60.02040694,,,,,,,,,,,,,,,,,小于,大于,,-0.277083302,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",90,2.8057,space,,,,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,1.9007,,,,,,,,,,,
