﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[24,76,92,48,102,14,159,184,158,116,176,153,60,147,58,36,128,149,136,141,201,87,9,71,124,79,139,186,111,104,187,105,95,163,67,170,196,83,121,59,169,115]",用户7465,space,9.2187,space,5.0084,space,13.3153,space,26.7629,space,38.0938,space,9.775,space,2.4494,3,4.141,1,5.7718,3,9.8082,2,8.0454,2,5.8219,0,0,0,0,1,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,space,7.7443,"[""RightButton_2""]",0.292708317,-0.294444473,1,0,0,RightButton_2,0,0,0,0,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,"[""LeftButton_2""]",-0.262499968,-0.303703732,1,0,0,LeftButton_2,0,1,1,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,"[""RightButton_2""]",0.288541714,-0.303703732,1,0,0,RightButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,0,-0.297916651,-0.490740741,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.259375016,-0.512963048,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,62,10.3217,space,29,9.4423,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,1.4497,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,-0.243750016,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,80.30303351,5.3043,space,31.48148309,7.7016,0,2,2,2,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,2.0246,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.268750032,-0.507407436,1,0,0,RightButton,"[""RightButton""]",70,3.4932,space,,,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,1.2465,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.267708381,-0.490740741,1,0,0,RightButton,"[""RightButton""]",1,8.34,space,,,,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,4.1989,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.283333381,-0.488888917,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.28125,-0.492592564,1,0,0,LeftButton,"[""LeftButton""]",,,,3.005208572,7.679,space,,,,,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,,1.8781,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.299999952,-0.507407436,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,39.16246273,3.7642,space,69.14983647,4.4859,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,0.7294,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.264583349,-0.505555612,1,0,0,RightButton,"[""RightButton""]",,,,3.463541667,3.4622,space,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,,1.7608,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.272916714,-0.498148176,1,0,0,RightButton,"[""RightButton""]",,,,2.96875,3.1997,space,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,3.7229,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.294791698,-0.490740741,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,2.4843,space,31,7.4049,,,,,,0,10,10,10,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,2.3022,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.305208365,-0.511111083,1,0,0,RightButton,"[""RightButton""]",89,2.4188,space,,,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,0.8707,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,-0.264583349,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",,,,3.505208492,2.2092,space,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.7005,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.273958365,-0.511111083,1,0,0,RightButton,"[""RightButton""]",91,1.575,space,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,0.7661,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.279166698,-0.48518527,1,0,0,RightButton,"[""RightButton""]",87,2.3043,space,,,,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,0.3019,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.277083317,-0.512963048,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,小于,大于,,0.295833349,-0.53333339,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,17.4944,space,41,10.4867,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,7.7906,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户7465,1,2024-05-31_24h57.12.756,interaction task chi,2021.2.3,Win32,60.35731531,,,,,,,,,,,,,,,,,大于,小于,,0.267708381,-0.488888917,1,0,0,RightButton,"[""RightButton""]",93,1.5832,space,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,0.5293,,,,,,,,,,,
