﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[32,78,37,187,165,98,190,127,52,95,114,120,152,68,176,157,63,82,72,181,86,99,141,48,163,139,118,103,3,61,91,170,194,144,117,59,143,19,202,172,122,145]",这是一个小天才,space,21.3091,space,1.6248,space,28.8147,space,63.0775,space,30.0685,space,27.8203,space,1.387,3,1.6169,1,2.5488,3,6.3365,2,5.271,2,21.8583,0,0,0,0,1,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,space,0.9781,"[""RightButton_2""]",0.307291667,-0.342592593,1,0,0,RightButton_2,0,0,0,0,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,"[""RightButton_2""]",0.305208365,-0.262963048,1,0,0,RightButton_2,0,1,1,1,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,"[""LeftButton_2""]",-0.263541619,-0.307407379,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,0.4,0.263541698,-0.514814871,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot29.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,0.264583349,-0.496296353,1,0,0,RightButton,"[""RightButton""]",,,,,,,91,2.772,space,20,5.2057,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,1.5457,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.268749952,-0.522222307,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.229166667,-0.531481566,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,69.25505372,3.3135,space,30.11363476,5.4357,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,0.3222,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,小于,大于,,-0.262499968,-0.546296296,1,0,0,LeftButton,"[""LeftButton""]",,,,3.854166667,3.6371,space,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,0.1518,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,这是一个小天才,1,2024-05-31_01h34.56.573,interaction task chi,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,大于,小于,,-0.294791619,-0.542592649,1,0,0,LeftButton,"[""LeftButton""]",11,5.249,space,,,,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,1.1536,,,,,,,,,,
