﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,53,60]",space,7.6007,space,14.7522,critical,space,7.4878,2.005555725,2.9025,space,0.7332,0,0,0,6,1,7,image/7.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,3.96111145,2.3015,space,0.6513,0,1,1,20,1,21,image/21.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,5.005555725,2.6486,space,0.4174,0,2,2,23,1,24,image/24.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,3.022222392,2.556,space,0.5512,0,3,3,4,1,5,image/5.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,2.972222392,1.737,space,0.376,0,4,4,34,1,35,image/35.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,5.01111145,3.0505,space,0.3841,0,5,5,38,1,39,image/39.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,4.01111145,1.6987,space,0.7666,0,6,6,5,1,6,image/6.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,2.977778117,1.916,space,0.4011,0,7,7,42,1,43,image/43.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,5.977778117,2.5665,space,0.3852,0,8,8,16,1,17,image/17.jpg,0,0,,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
,,,,,,,,1.016666667,8.6539,space,1.4173,0,9,9,50,1,55,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,土豆洋芋薯片,2,2024-05-31_04h30.18.688,face trait task chi,2021.2.3,Win32,59.95922773,,,,,,,
