﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,52,59]",space,4.9741,space,8.6354,competent,space,7.7193,5.006364169,3.7104,space,1.6424,0,0,0,12,1,13,image/13.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,4.998867747,2.5783,space,0.3764,0,1,1,39,1,40,image/40.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.025104194,2.3474,space,0.325,0,2,2,47,1,48,image/48.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,1.003396827,7.9006,space,0.8132,0,3,3,51,1,53,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,3.019872826,3.6123,space,1.1342,0,4,4,24,1,25,image/25.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.875922314,3.1483,space,0.3958,0,5,5,35,1,36,image/36.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.722250132,1.2232,space,0.451,0,6,6,17,1,18,image/18.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.962128761,1.375,space,0.4687,0,7,7,29,1,30,image/30.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.639792239,3.8283,space,1.7336,0,8,8,41,1,42,image/42.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,2.986139958,2.262,space,1.4179,0,9,9,0,1,1,image/1.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,3.803224868,1.1399,space,0.2761,0,10,10,13,1,14,image/14.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,6.989106957,2.0448,space,0.2596,0,11,11,52,1,60,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,4.687775514,1.6021,space,0.2186,0,12,12,20,1,21,image/21.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,3.349705084,2.1735,space,1.222,0,13,13,7,1,8,image/8.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,4.545347964,1.4005,space,0.4533,0,14,14,33,1,34,image/34.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,1,3.82,space,2.1667,0,15,15,50,1,55,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,4.579080832,1.5155,space,0.2006,0,16,16,34,1,35,image/35.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.118807062,1.1456,space,0.2418,0,17,17,30,1,31,image/31.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
,,,,,,,,5.564830081,1.2032,space,0.1598,0,18,18,26,1,27,image/27.jpg,0,0,,好运跟着来呗,2,2024-05-31_01h12.28.616,face trait task chi,2021.2.3,Win32,120.4819277,,,,,,,
