﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,53,52]",space,3.5285,space,4.7994,competent,space,6.2533,2.005555556,2.5124,space,1.867,0,0,0,16,1,17,image/17.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6,1.6213,space,0.4503,0,1,1,39,1,40,image/40.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.016666667,2.7327,space,0.9725,0,2,2,33,1,34,image/34.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.027777778,1.6141,space,0.4344,0,3,3,15,1,16,image/16.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.988888889,2.1061,space,1.0451,0,4,4,12,1,13,image/13.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6.005555556,2.0425,space,0.3575,0,5,5,4,1,5,image/5.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6.988888889,1.77,space,0.3183,0,6,6,35,1,36,image/36.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.022222222,4.2332,space,0.9669,0,7,7,51,1,54,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.988888889,1.6155,space,0.3508,0,8,8,10,1,11,image/11.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.011111111,1.3936,space,0.3174,0,9,9,21,1,22,image/22.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.016666667,1.6769,space,0.4676,0,10,10,1,1,2,image/2.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5,1.7364,space,0.3175,0,11,11,31,1,32,image/32.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.038888889,1.8702,space,1.0674,0,12,12,13,1,14,image/14.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.966666667,1.7921,space,0.4007,0,13,13,32,1,33,image/33.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.011111111,3.0613,space,0.4798,0,14,14,22,1,23,image/23.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6.977777778,2.1785,space,0.3921,0,15,15,27,1,28,image/28.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.988888889,1.7032,space,0.293,0,16,16,17,1,18,image/18.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.005555556,1.9427,space,0.3842,0,17,17,30,1,31,image/31.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.972222222,1.6391,space,0.2843,0,18,18,9,1,10,image/10.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.027777778,1.575,space,0.351,0,19,19,24,1,25,image/25.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4,1.4863,space,0.4009,0,20,20,43,1,44,image/44.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.016666667,1.6364,space,0.326,0,21,21,18,1,19,image/19.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.033333333,2.0411,space,0.3843,0,22,22,23,1,24,image/24.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.966666667,1.6523,space,0.3068,0,23,23,5,1,6,image/6.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.966666667,1.5822,space,0.2429,0,24,24,29,1,30,image/30.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.994444444,1.6608,space,0.2873,0,25,25,48,1,49,image/49.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.005555556,1.508,space,0.2604,0,26,26,6,1,7,image/7.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.994444444,1.5678,space,0.6897,0,27,27,41,1,42,image/42.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.005555556,1.8286,space,0.3008,0,28,28,14,1,15,image/15.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.983333333,1.7326,space,0.1882,0,29,29,46,1,47,image/47.jpg,0,0,,快乐修勾,2,2024-05-31_01h08.26.992,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
