﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,50,54]",space,11.7998,space,21.5503,competent,space,15.2033,2.966666667,2.7787,space,0.8295,0,0,0,9,1,10,image/10.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.988889058,3.2948,space,0.374,0,1,1,0,1,1,image/1.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,1.027777863,11.53,space,5.1528,0,2,2,52,1,55,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,5.01111145,2.2459,space,0.31,0,3,3,40,1,41,image/41.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.983333333,2.0045,space,0.3635,0,4,4,17,1,18,image/18.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,6.977778117,3.5475,space,0.8177,0,5,5,50,1,59,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.988889058,2.6762,space,0.3774,0,6,6,10,1,11,image/11.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,5.955555725,2.262,space,0.3723,0,7,7,38,1,39,image/39.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.972222392,2.431,space,0.4078,0,8,8,14,1,15,image/15.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.994444784,2.3919,space,0.384,0,9,9,21,1,22,image/22.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.016666667,2.2397,space,0.3849,0,10,10,11,1,12,image/12.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.027778117,3.4747,space,0.4287,0,11,11,20,1,21,image/21.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.966666667,1.78,space,0.6173,0,12,12,23,1,24,image/24.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.516666667,3.5526,space,0.3933,0,13,13,28,1,29,image/29.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.51111145,2.4569,space,1.0346,0,14,14,34,1,35,image/35.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.983333333,2.9463,space,0.7671,0,15,15,49,1,50,image/50.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.994444784,2.0597,space,0.4673,0,16,16,29,1,30,image/30.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,1.983333333,1.8802,space,0.4124,0,17,17,18,1,19,image/19.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.994444784,2.3012,space,0.4252,0,18,18,27,1,28,image/28.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.966666667,1.9097,space,0.3747,0,19,19,32,1,33,image/33.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.461111196,2.543,space,0.352,0,20,20,19,1,20,image/20.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.977778117,2.0565,space,0.4335,0,21,21,36,1,37,image/37.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.005555725,2.2728,space,0.3927,0,22,22,26,1,27,image/27.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.933333333,2.2242,space,0.4456,0,23,23,5,1,6,image/6.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.983333333,3.1575,space,0.4088,0,24,24,3,1,4,image/4.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,2.994444784,1.8074,space,0.4378,0,25,25,24,1,25,image/25.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,4.972222392,1.7785,space,0.4547,0,26,26,37,1,38,image/38.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
,,,,,,,,3.455555725,1.9947,space,0.5292,0,27,27,12,1,13,image/13.jpg,0,0,, 挽冬,2,2024-05-31_13h12.58.896,face trait task chi,2021.2.3,Win32,60.09254252,,,,,,,
