﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,53,54]",space,18.5809,space,8.8894,critical,space,7.2445,6.027777778,2.3183,space,0.7755,0,0,0,23,1,24,image/24.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.03333346,2.493,space,0.3959,0,1,1,2,1,3,image/3.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5,2.0258,space,0.2851,0,2,2,30,1,31,image/31.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.966666751,1.9968,space,0.3632,0,3,3,7,1,8,image/8.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.977778117,1.5448,space,0.4198,0,4,4,36,1,37,image/37.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.022222307,3.1524,space,0.1146,0,5,5,44,1,45,image/45.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.016666836,2.5374,space,0.3391,0,6,6,46,1,47,image/47.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.977777693,1.5403,space,0.1753,0,7,7,26,1,27,image/27.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.977777905,1.909,space,0.4574,0,8,8,10,1,11,image/11.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.022222307,2.5386,space,0.2714,0,9,9,40,1,41,image/41.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.027777778,2.2026,space,0.3084,0,10,10,11,1,12,image/12.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.961111281,1.5541,space,0.4216,0,11,11,20,1,21,image/21.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.038889143,2.6668,space,0.1177,0,12,12,25,1,26,image/26.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.966667175,1.5063,space,0.3344,0,13,13,16,1,17,image/17.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.955555386,1.1414,space,0.1669,0,14,14,21,1,22,image/22.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.005555895,1.9861,space,0.3226,0,15,15,6,1,7,image/7.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.60555564,2.5633,space,0.185,0,16,16,3,1,4,image/4.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.516666836,1.8504,space,0.1781,0,17,17,27,1,28,image/28.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.983333164,1.3533,space,0.3535,0,18,18,12,1,13,image/13.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.444444444,1.8561,space,0.572,0,19,19,42,1,43,image/43.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.944444444,3.0145,space,0.2931,0,20,20,37,1,38,image/38.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.583333333,2.1015,space,0.3053,0,21,21,1,1,2,image/2.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.594444487,1.8949,space,0.1537,0,22,22,4,1,5,image/5.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.938889398,1.795,space,0.3893,0,23,23,39,1,40,image/40.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,7,3.3001,space,1.9634,0,24,24,50,1,58,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.511110942,1.9461,space,0.3578,0,25,25,38,1,39,image/39.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.972222222,2.7203,space,0.3914,0,26,26,0,1,1,image/1.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.983333164,2.0151,space,0.3404,0,27,27,14,1,15,image/15.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,7,2.5798,space,1.2616,0,28,28,13,1,14,image/14.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.28333346,1.9311,space,0.2848,0,29,29,43,1,44,image/44.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.027777778,2.2115,space,0.3339,0,30,30,48,1,49,image/49.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.683333503,1.7421,space,0.1579,0,31,31,28,1,29,image/29.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.89999983,1.6065,space,0.2324,0,32,32,15,1,16,image/16.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.533333249,2.1252,space,0.2478,0,33,33,17,1,18,image/18.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.055555556,1.8963,space,0.1328,0,34,34,18,1,19,image/19.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.966667175,1.4841,space,0.3868,0,35,35,19,1,20,image/20.jpg,0,0,,爱购i,2,2024-05-31_01h07.16.194,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
