﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,59,59]",space,2.57112,space,1.111195,friendly,space,1.002755,4.5,2.309365,space,0.287965,0,0,0,17,1,18,image/18.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,2.5859375,1.427435,space,0.218215,0,1,1,40,1,41,image/41.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.5546875,1.268215,space,0.181585,0,2,2,0,1,1,image/1.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.234375,0.902345,space,0.05181,0,3,3,8,1,9,image/9.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.5546875,0.8107,space,0.113675,0,4,4,9,1,10,image/10.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.2265625,0.925445,space,0.087935,0,5,5,37,1,38,image/38.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.765625,2.006595,space,0.04639,0,6,6,45,1,46,image/46.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.71875,1.68583,space,0.19073,0,7,7,36,1,37,image/37.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.28125,1.487955,space,0.156935,0,8,8,1,1,2,image/2.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.6640625,1.309075,space,0.48036,0,9,9,12,1,13,image/13.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,3.40625,1.213725,space,0.15027,0,10,10,42,1,43,image/43.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
,,,,,,,,4.53125,1.274615,space,0.117,0,11,11,41,1,42,image/42.jpg,0,0,,用户41526,2,2024-05-31_01h43.03.735,face trait task chi,2021.2.3,Win32,50.24368186,,,,,,,
