﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,55,57]",space,2.4186,space,117.8606,critical,space,22.6034,1.155555513,3.361,space,0.0829,0,0,0,48,1,49,image/49.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.133333418,2.3877,space,0.1552,0,1,1,32,1,33,image/33.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.972222222,2.1867,space,0.2004,0,2,2,26,1,27,image/27.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.400000254,2.2696,space,0.2237,0,3,3,43,1,44,image/44.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.394444572,1.7549,space,0.1168,0,4,4,20,1,21,image/21.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.955555386,1.2464,space,0.4197,0,5,5,39,1,40,image/40.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.094444275,1.6637,space,0.0921,0,6,6,16,1,17,image/17.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.322222392,2.0547,space,0.2416,0,7,7,37,1,38,image/38.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.238889058,1.3112,space,0.1022,0,8,8,47,1,48,image/48.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.91111162,1.3962,space,0.4087,0,9,9,27,1,28,image/28.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.922222561,1.4062,space,0.2653,0,10,10,42,1,43,image/43.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.955555386,1.4773,space,0.3047,0,11,11,0,1,1,image/1.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.083333333,2.5035,space,0.1334,0,12,12,24,1,25,image/25.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.005555895,2.9736,space,0.137,0,13,13,15,1,16,image/16.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.022222307,1.7196,space,0.1741,0,14,14,25,1,26,image/26.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.972222222,1.9297,space,0.1334,0,15,15,22,1,23,image/23.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.561111238,1.8807,space,0.1879,0,16,16,4,1,5,image/5.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4,3.3446,space,0.1854,0,17,17,35,1,36,image/36.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.527777778,2.5746,space,0.102,0,18,18,31,1,32,image/32.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.994444529,2.4674,space,0.1758,0,19,19,7,1,8,image/8.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.983333164,2.9029,space,0.4266,0,20,20,13,1,14,image/14.jpg,0,0,,这是一个小天才,2,2024-05-31_01h49.52.191,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
