StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,participantIDque,Gender,Gender_5_TEXT,Q6,Q7,Q7_2_TEXT,Q9,status,naodao_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,我同意参与本研究,请输入您的脑岛用户名,您的性别认同是？ - Selected Choice,您的性别认同是？ - 其他（请具体说明） - Text,您的年龄（年）？：,您的民族？ - Selected Choice,您的民族？ - 少数民族（请注明） - Text,您的最高学历是什么？,status,naodao_id
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_2_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QSEDstatus""}","{""ImportId"":""naodao_id""}"
2024-05-03 15:52:19,2024-05-03 15:53:05,Survey Preview,,100,46,True,2024-05-03 15:53:06,R_75KRd8uJINjtfaN,,,,,34.4265,-119.8631,preview,ZH-S,是,,,,,,,,,
2024-05-09 20:34:23,2024-05-09 20:34:40,IP Address,169.231.116.246,100,16,True,2024-05-09 20:34:40,R_3zup8PfGQNfRVtc,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,女性,,,,,,,
2024-05-09 20:35:42,2024-05-09 20:35:56,IP Address,169.231.116.246,100,14,True,2024-05-09 20:35:57,R_5QVEP04kf5xdSgz,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,,
2024-05-13 20:09:01,2024-05-13 20:09:16,IP Address,169.231.116.246,100,15,True,2024-05-13 20:09:17,R_2Zaak68LX4KvFpD,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,女性,,,,,,1,preview
2024-05-13 20:14:19,2024-05-13 20:15:20,IP Address,169.231.116.246,100,60,True,2024-05-13 20:15:21,R_2rwJOIadbkEl83V,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,842721462082215938
2024-05-13 20:22:53,2024-05-13 20:23:03,IP Address,169.231.116.246,100,9,True,2024-05-13 20:23:04,R_1FxZXIdQpbRBeJ9,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,842721462082215938
2024-05-13 20:37:28,2024-05-13 20:37:37,IP Address,169.231.116.246,100,8,True,2024-05-13 20:37:38,R_7n7sZoJQEp4AjKX,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,842721462082215938
2024-05-14 00:10:38,2024-05-14 00:10:48,IP Address,169.231.116.172,100,9,True,2024-05-14 00:10:48,R_5R9fVt3MqXcch2x,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,842780936444841985
2024-05-14 00:16:20,2024-05-14 00:16:28,IP Address,169.231.116.172,100,8,True,2024-05-14 00:16:29,R_2wnSWrZ2SkQZsE1,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,842782380665217026
2024-05-14 22:20:09,2024-05-14 22:20:21,IP Address,169.231.115.249,100,11,True,2024-05-14 22:20:21,R_54H7GXVUXWA6ukK,,,,,34.4265,-119.8631,anonymous,ZH-S,是,,,,,,,,1,843115515378667521
2024-05-17 22:27:05,2024-05-17 22:32:04,IP Address,184.189.252.12,100,298,True,2024-05-17 22:32:04,R_5yBmb7nywFFn5Id,,,,,34.4216,-119.7068,anonymous,ZH-S,是,hongyuluo,男性,,20,汉族,,高中或中专,1,844204416826482689
