﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[47,67,141,116,159,74,88,77,129,103,50,158,146,164,138,186,102,55,122,184,144,170,80,201,65,86,21,93,154,27,177,112,192,105,110,0,48,189,131,69,134,179]",sppq,space,41.6512,space,1.1422,space,0.8404,space,1.2141,space,22.1976,space,1.1347,space,0.5395,3,2.1294,1,1.567,3,1.3255,2,1.3565,2,0.8785,0,0,0,0,1,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,space,25.3032,"[""RightButton_2""]",0.272407771,-0.294444568,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,9dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,"[""LeftButton_2""]",-0.240773264,-0.345833373,1,0,0,LeftButton_2,0,1,1,1,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,"[""RightButton_2""]",0.255223627,-0.315277902,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,0.4,-0.277484845,-0.536111157,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.277484845,-0.536111157,1,0,0,LeftButton,"[""LeftButton""]",,,,0.631589223,5.3912,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,1.1565,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.250537042,-0.518055601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,91.37430472,3.5367,space,6.338078386,4.4656,0,2,2,2,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.9527,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.247412747,-0.525000045,1,0,0,RightButton,"[""RightButton""]",,,,0.4402576,2.4957,space,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.7024,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.299746182,-0.548611157,1,0,0,RightButton,"[""RightButton""]",,,,0.932252895,1.6241,space,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.5322,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.330599425,-0.515277823,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,18,3.6941,space,15,4.886,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,1.7194,,,,,,,,,,,
